min ax,max ax,mean ax,median ax,mad ax,sd ax,tdiff ax,iqr ax,entropy ax,skew ax,kurt ax,rms ax,pos jumps ax,neg jumps ax,min ay,max ay,mean ay,median ay,mad ay,sd ay,tdiff ay,iqr ay,entropy ay,skew ay,kurt ay,rms ay,pos jumps ay,neg jumps ay,min az,max az,mean az,median az,mad az,sd az,tdiff az,iqr az,entropy az,skew az,kurt az,rms az,pos jumps az,neg jumps az,min gx,max gx,mean gx,median gx,mad gx,sd gx,tdiff gx,iqr gx,entropy gx,skew gx,kurt gx,rms gx,pos jumps gx,neg jumps gx,min gy,max gy,mean gy,median gy,mad gy,sd gy,tdiff gy,iqr gy,entropy gy,skew gy,kurt gy,rms gy,pos jumps gy,neg jumps gy,min gz,max gz,mean gz,median gz,mad gz,sd gz,tdiff gz,iqr gz,entropy gz,skew gz,kurt gz,rms gz,pos jumps gz,neg jumps gz,label
1236,1544,1410.8,1416.0,52.92,71.48470576210507,-305,82.0,-5.2506993328423075,-0.5452611229358372,0.4426544789502347,1412.519451193505,0,0,-228,180,64.0,76.0,76.4,100.97628695053007,406,119.0,-4.786313713864835,-1.2005806032939594,1.5189871925711218,117.3984667702266,0,0,17364,17784,17524.2,17508.0,72.64000000000014,97.7082660943172,407,96.0,-4.786313713864835,0.7913725047843154,0.8268830838952677,17524.458770529833,0,0,-298,486,45.9,46.5,62.4,132.57049763090302,1121,47.75,-4.554120904376099,1.006544587558398,6.260241884362495,137.12403144598687,0,0,-459,49,-32.45,-13.5,49.26500000000003,103.97999554570204,713,31.75,-4.554120904376099,-3.6763515096884194,12.723907265486183,106.41545940322769,0,0,-32,136,16.65,6.5,31.579999999999995,43.246265430487874,-1527,48.0,-4.321928094887363,1.4004722687881648,1.5478775671601293,45.320525151414564,0,0,0
-8692,5120,-375.2,-122.0,1889.1999999999994,2726.950438628623,-814,2196.0,-4.321928094887363,-1.053330303862699,2.893960618545181,2684.2542353510407,0,0,-3576,5704,1369.4,1418.0,2238.2,2774.17664219589,-1425,3168.0,-4.321928094887363,-0.3700801363155224,-0.8107734575915542,3030.9255352119753,0,0,13204,18432,16220.2,16596.0,1180.1599999999999,1447.3831049972841,-202,2077.0,-4.321928094887363,-0.48021892509360603,-0.5988285294191726,16281.432983616645,0,0,-9620,9171,-169.25,8.5,2723.975,4134.901791935012,305,2347.0,-4.321928094887363,-0.16709710346823375,0.8453527331283386,4033.756035012529,0,0,-14515,5459,-1546.75,-190.0,3788.4,5302.176860547592,-101,4339.75,-4.321928094887363,-1.2948625105374343,1.191021371704723,5394.428704691536,0,0,-6080,7211,-159.45,280.5,2251.7400000000002,3206.3031257525427,1018,2356.5,-4.321928094887363,0.003647927811440509,0.28009329566616126,3129.182808657877,0,0,0
-8984,852,-4658.8,-4888.0,2220.9200000000005,2725.0779534962994,1425,4027.0,-4.321928094887363,0.25332277791533325,-0.7740957755367974,5362.757201291141,0,0,5404,15296,10130.4,10104.0,2306.7999999999997,2797.5987899399875,101,4100.0,-4.321928094887363,-0.047850876028397986,-0.9279809729067909,10490.959689180014,0,0,-5048,9756,3676.2,4354.0,3916.1600000000008,4740.525660392748,-612,6521.0,-4.321928094887363,-0.47646989557916175,-0.9651266833139216,5904.523757255956,0,0,-25965,23516,2624.7,5459.0,13804.529999999999,15756.62094786623,917,26977.25,-4.321928094887363,-0.17716641568187586,-1.3070526482643368,15580.327294379922,0,0,-21391,14100,-1759.8,1020.0,8199.039999999997,10152.943563840307,-917,14366.75,-4.321928094887363,-0.5609823912040849,-0.6103477763115954,10051.121623978092,0,0,-6686,16793,3159.85,2821.0,6756.65,7745.222991421363,-1221,12440.5,-4.321928094887363,0.35688568047395614,-1.192485024220064,8183.746528943819,0,0,0
-12776,956,-6089.2,-6178.0,3377.6,4050.68666823423,-1119,5684.0,-4.321928094887363,0.08729243148631002,-1.0335245812674383,7257.135523055912,0,0,124,13288,6573.2,7032.0,3075.3600000000006,3715.8313031789007,406,5895.0,-4.321928094887363,-0.24428406105275532,-0.913291969606588,7504.931072301731,0,0,-6276,2472,-1727.2,-1364.0,2124.3199999999997,2627.68887047154,1223,3554.0,-4.321928094887363,-0.26947389450995785,-0.9979443913433004,3089.1311399809492,0,0,-20625,13020,-629.8,525.5,8751.579999999996,10470.259518223384,509,15015.25,-4.321928094887363,-0.3773595643410916,-0.867103719059954,10224.561883034403,0,0,-7497,6357,-972.0,-1940.0,3536.7,4150.650006165806,-1120,6977.0,-4.321928094887363,0.3094744459234278,-1.091992369409078,4160.683201110125,0,0,-14282,18584,-64.2,-929.5,7921.079999999999,10100.245857351561,-1222,13966.25,-4.321928094887363,0.3364609647762493,-0.8640944046535468,9844.711255288294,0,0,0
-13468,3172,-3910.6,-3432.0,3886.46,4800.325475807261,203,6160.0,-4.321928094887363,-0.3414019710163463,-0.6042422604320441,6097.848866608617,0,0,1284,16064,8900.2,9358.0,4379.38,5131.933867564218,-815,10228.0,-4.321928094887363,-0.004954687937267062,-1.4192211896440239,10209.479320709748,0,0,-14492,1180,-6760.0,-6810.0,2982.4,3932.528207815318,306,4449.0,-4.321928094887363,0.06524970528581345,-0.2473276232120245,7771.04492330343,0,0,-25604,18723,2063.95,5897.0,12066.860000000002,13955.314405460851,-815,27143.5,-4.321928094887363,-0.5439692918500448,-1.1436299806510004,13757.657858443783,0,0,-12199,12997,-1275.95,-2300.5,4578.5599999999995,6333.815898767006,713,4338.0,-4.321928094887363,0.6891475206309454,0.07976889837617351,6303.920292167406,0,0,-22208,20543,-1911.85,-1333.5,11704.550000000001,13585.802482061152,814,23557.25,-4.321928094887363,0.15501438681874674,-1.3183007028361091,13379.106773249103,0,0,0
-7144,3428,-2563.6,-1310.0,2495.16,2857.822770829864,-1018,4200.0,-4.321928094887363,0.035667642757542875,-0.8736866865768769,3785.6093829131396,0,0,2300,16240,10171.6,11192.0,2700.4800000000005,3506.433401620513,-610,3859.0,-4.321928094887363,-0.7274520079564027,0.018661300139558357,10730.41322596665,0,0,-9304,-1460,-5179.6,-5556.0,1682.0800000000004,2120.415013995833,-510,2864.0,-4.321928094887363,0.10746056489697171,-0.6070640580413151,5576.7022513309785,0,0,-15532,17756,32.55,-1457.5,8462.605000000001,9778.705675168823,-1120,17430.0,-4.321928094887363,0.0186244560604091,-1.2386268826159612,9531.158898581012,0,0,-16892,11635,-83.7,891.5,5532.469999999999,6935.133498506375,1019,9297.25,-4.321928094887363,-0.3902428704643974,0.012529987428930855,6760.0501847249625,0,0,-14513,11964,-1396.0,-1244.5,7289.4,8610.418267241268,509,13186.0,-4.321928094887363,-0.11741414136432145,-1.2110140122527322,8507.711419647472,0,0,0
-6200,6520,662.0,516.0,4078.8,4671.583164534042,1425,9031.0,-4.321928094887363,-0.15563817725897558,-1.508032021726525,4601.168199490212,0,0,7396,18512,12266.6,12354.0,2871.0000000000005,3435.84235285675,1018,6499.0,-4.554120904376099,0.1598461958698112,-1.2293279123361218,12715.511692417258,0,0,-9700,10204,1159.6,-312.0,5369.160000000002,6056.800183525777,-1323,11621.0,-4.321928094887363,0.02317058033846653,-1.3553279916592071,6016.249595886128,0,0,-9832,16248,191.4,-908.0,4865.319999999999,6446.890881820884,1323,6748.25,-4.321928094887363,0.8584276810972389,0.3347602981075153,6286.566304430424,0,0,-1672,15019,5986.75,5598.0,3093.825,4169.229524618112,-1018,3441.5,-4.321928094887363,0.16656605057488033,0.05764135871210341,7235.642794527656,0,0,-4240,19620,4091.85,4894.0,4087.6800000000003,5596.632768436468,-612,6869.25,-4.321928094887363,0.7045688390567434,1.146546809846412,6819.048309698355,0,0,0
-5820,2720,-2231.2,-2432.0,1530.9599999999996,2080.464158737053,-407,1989.0,-4.321928094887363,0.47405416688996144,0.24659050587172526,3014.990547248863,0,0,5100,14536,10964.8,11510.0,1795.0400000000002,2389.5578450284147,-509,2246.0,-4.321928094887363,-0.9167675962754097,0.18202227320328168,11209.430244218482,0,0,-6504,12188,1008.6,-1046.0,4596.439999999999,5647.286860449938,1934,6108.0,-4.321928094887363,0.8245636150537811,-0.6088021488863551,5595.938741623249,0,0,-20420,12121,-4992.75,-5494.0,8383.475,10343.946151582679,-1120,15820.25,-4.321928094887363,0.17552266883049703,-1.0837002192705782,11250.551695361433,0,0,-19360,7722,-609.8,2209.5,5788.620000000002,7617.923391581199,408,6841.75,-4.321928094887363,-1.2500011499279446,0.4596458968371153,7450.031879126424,0,0,-3795,4443,-648.5,-1163.5,1759.55,2180.1484377276506,916,3327.75,-4.321928094887363,0.7249140934597376,-0.3121047023084538,2221.6991470493926,0,0,0
1200,25484,9887.4,8370.0,5234.300000000001,7207.429649144584,713,3860.0,-4.321928094887363,1.2099287642133032,0.34661783142349956,12128.906331570048,0,0,-13908,23956,8628.0,17016.0,13880.4,15195.053045403678,-1019,31048.0,-4.321928094887363,-0.4387291233957775,-1.5860418834667833,17140.231597035086,0,0,-7524,9508,2159.0,2826.0,3484.7,4588.497816336662,-611,3724.0,-4.321928094887363,-0.5969555505786298,-0.1582262910111507,4966.173335678085,0,0,-32768,18534,-8630.65,-11468.0,12524.085000000003,15149.769448567095,-1018,22332.25,-4.321928094887363,0.2995767081291358,-0.8754876629952539,17103.445794634485,0,0,-6776,11234,483.85,853.0,3732.065,4634.0647188425255,1629,7025.5,-4.321928094887363,0.31502880024989643,-0.35627520374615385,4542.569630726644,0,0,-29205,14234,-8625.15,-4667.0,12010.265000000001,13895.143442660292,-1018,24269.5,-4.321928094887363,-0.1230019144957649,-1.2897585003810463,16056.602170135498,0,0,0
-17080,9968,2573.4,3964.0,4834.720000000002,6637.802588206431,1120,6146.0,-4.321928094887363,-1.4004756890468082,1.853879372358099,6962.742965240064,0,0,-8148,22020,14166.0,17916.0,6211.8,8390.131897840336,1526,5769.0,-4.321928094887363,-1.639828106800504,1.6367941393682326,16356.960402226325,0,0,1568,15384,6743.2,6304.0,3229.999999999999,3727.0169474146196,-917,6160.0,-4.321928094887363,0.4676630623818738,-0.6336223983232694,7659.430057125661,0,0,-17155,21669,3651.0,8213.5,10043.0,11611.752698746304,-1833,18112.0,-4.321928094887363,-0.3827319562165815,-1.1381589371618401,11892.054561765179,0,0,-13318,9693,-687.0,-1031.5,5352.0,6784.987530531923,-917,9039.75,-4.321928094887363,0.00286004849574037,-0.8931559506906193,6648.775977576624,0,0,-25819,30083,5764.7,6579.0,12369.400000000005,15429.800319682141,-1833,23790.5,-4.321928094887363,-0.3199459416159862,-0.760602723296651,16106.103411440025,0,0,0
