
(-40, -10, -19, 2, 0, 0)
(-39, -10, -18, 1, -1, 0)
(-40, -10, -18, 2, 0, 1)
(-40, -9, -17, 1, 0, 0)
(-40, -10, -17, 1, 0, 0)
(-39, -10, -17, 0, 0, 0)
(-40, -10, -18, 1, 0, 0)
(-40, -9, -17, 0, 0, 0)
(-41, -9, -18, 0, 0, 0)
(-41, -8, -18, 0, 0, 0)
(-40, -9, -18, -1, 0, 0)
(-39, -9, -19, -1, 1, 0)
(-39, -10, -19, -1, 2, 0)
(-40, -11, -20, 0, 2, 0)
(-41, -11, -20, 0, 1, 0)
(-42, -11, -19, 1, 0, 0)
(-41, -12, -19, 1, 1, 0)
(-40, -14, -20, 1, 1, -1)
(-38, -16, -19, 0, 3, -2)
(-37, -21, -18, 0, 7, -3)
(-38, -25, -18, -1, 10, -4)
(-40, -31, -17, -3, 11, -6)
(-42, -36, -16, -4, 10, -7)
(-43, -42, -16, -5, 9, -8)
(-44, -50, -16, -5, 5, -11)
(-45, -57, -16, -2, 0, -15)
(-41, -63, -15, 2, -6, -17)
(-37, -66, -15, 8, -13, -16)
(-32, -67, -14, 15, -19, -13)
(-24, -65, -12, 20, -23, -3)
(-18, -65, -10, 25, -22, -2)
(-15, -61, -6, 30, -15, 4)
(-16, -52, -5, 35, -3, 4)
(-19, -47, -3, 30, 4, 5)
(-22, -46, -2, 25, 1, 15)
(-26, -43, 0, 25, -12, 29)
(-22, -32, 2, 25, -27, 40)
(-15, -14, 6, 23, -27, 45)
(-12, 8, 9, 12, -15, 40)
(-15, 23, 8, -5, -4, 39)
(-20, 33, 5, -23, -5, 52)
(-24, 46, 1, -27, -17, 79)
(-18, 62, -4, -31, -28, 109)
(-17, 82, -11, -30, -27, 127)
(-27, 108, -19, -22, -14, 127)
(-47, 127, -28, -22, 0, 127)
(-75, 127, -35, -52, 13, 123)
(-84, 127, -45, -102, 27, 65)
(-85, 78, -68, -124, 55, 9)
(-112, 16, -104, -104, 78, -36)
(-127, -32, -111, -50, 64, -79)
(-90, -33, -78, 22, 29, -78)
(-62, -1, -50, 86, -27, -25)
(-35, 43, -30, 107, -65, -8)
(-9, 71, -10, 83, -70, -20)
(4, 73, 6, 49, -39, -37)
(-5, 62, 8, 39, 1, -49)
(-20, 59, 1, 36, 35, -62)
(-32, 54, -9, 25, 50, -76)
(-43, 42, -21, 17, 44, -79)
(-45, 28, -28, 19, 22, -70)
(-39, 23, -29, 36, 0, -53)
(-27, 27, -27, 45, -6, -42)
(-21, 30, -19, 45, 0, -37)
(-23, 27, -13, 40, 11, -38)
(-28, 23, -10, 34, 15, -38)
(-33, 18, -12, 25, 15, -35)
(-36, 13, -16, 14, 8, -29)
(-38, 6, -19, 8, 2, -21)
(-37, 2, -18, 9, -1, -15)
(-30, 0, -16, 9, -1, -14)
BatchID:  2




(-38, -12, -23, 0, 0, 0)
(-36, -12, -23, 0, 0, 0)
(-36, -12, -24, 0, 1, 0)
(-37, -12, -23, 0, 1, 1)
(-37, -12, -23, 0, 0, 1)
(-38, -12, -24, 0, 0, 2)
(-38, -12, -24, 1, 0, 1)
(-38, -12, -24, 1, 0, 0)
(-38, -12, -24, 1, 0, 0)
(-37, -13, -24, 1, 0, 0)
(-36, -13, -23, 2, 0, 1)
(-35, -13, -22, 2, 0, 2)
(-36, -13, -22, 3, 0, 3)
(-37, -13, -22, 4, -1, 4)
(-42, -12, -21, 4, -2, 4)
(-42, -13, -22, 3, -3, 2)
(-42, -15, -22, 2, -3, 0)
(-40, -20, -20, 0, -3, -1)
