

(-7, -54, -17, 0, 4, -1)
(-8, -54, -17, 0, 2, -1)
(-8, -54, -18, 0, 0, -1)
(-7, -54, -18, 0, -1, -1)
(-6, -54, -19, 0, -1, -1)
(-6, -54, -19, 1, -2, -1)
(-5, -55, -19, 1, -1, -1)
(-5, -54, -18, 2, 1, -2)
(-7, -54, -18, 2, 1, -2)
(-8, -54, -18, 2, 0, -2)
(-8, -54, -18, 2, -1, -1)
(-7, -54, -18, 2, -1, -2)
(-6, -54, -17, 2, 0, -2)
(-6, -53, -18, 2, 1, -2)
(-7, -53, -17, 1, 2, -3)
(-7, -54, -18, 1, 2, -4)
(-7, -55, -17, 2, 1, -3)
(-6, -54, -17, 3, 0, -3)
(-5, -54, -16, 3, 0, -3)
(-4, -53, -14, 3, 0, -3)
(-4, -53, -13, 2, 0, -3)
(-2, -54, -13, 2, 1, -4)
(-2, -54, -13, 2, 3, -3)
(-3, -55, -12, 2, 0, -2)
(-2, -55, -12, 3, -2, -2)
(0, -56, -11, 0, -3, -1)
(1, -57, -11, -2, -1, 0)
(0, -58, -12, -3, 1, 2)
(0, -60, -14, -4, 3, 4)
(-2, -59, -16, -4, 4, 6)
(-4, -59, -16, -5, 4, 8)
(-16, -55, -24, -8, 8, 7)
(-25, -54, -31, -10, 6, 2)
(-34, -56, -38, -9, 0, -4)
(-38, -60, -43, -6, -9, -12)
(-34, -63, -45, 0, -13, -18)
(-27, -61, -47, 7, -6, -17)
(-24, -57, -48, 13, 8, -14)
(-26, -54, -52, 17, 26, -12)
(-35, -55, -58, 24, 40, -15)
(-44, -55, -61, 33, 46, -25)
(-52, -54, -62, 43, 39, -36)
(-51, -48, -58, 52, 21, -48)
(-39, -43, -54, 57, 7, -58)
(-26, -39, -48, 62, 5, -66)
(-16, -35, -42, 65, 10, -70)
(-14, -32, -37, 68, 17, -74)
(-13, -31, -30, 71, 20, -78)
(0, -16, 2, 98, 8, -94)
(6, -13, 8, 98, 1, -99)
(19, -12, 14, 97, -2, -104)
(31, -12, 21, 97, 0, -106)
(42, -11, 30, 95, 4, -105)
(48, -12, 39, 90, 7, -103)
(55, -12, 46, 87, 5, -98)
(62, -12, 55, 82, 0, -91)
(72, -11, 62, 75, -7, -83)
(84, -12, 70, 65, -6, -77)
(98, -13, 77, 55, 10, -68)
(98, -13, 81, 40, 36, -59)
(90, -17, 82, 30, 38, -51)
(89, -22, 86, 23, 31, -43)
(90, -23, 91, 20, 21, -34)
(96, -22, 97, 14, 11, -25)
(102, -18, 102, 4, 4, -14)
(108, -15, 104, -10, 0, -4)
(112, -15, 99, -25, 2, 4)
(109, -20, 92, -37, 4, 16)
(103, -22, 85, -45, 4, 27)
BatchID:  2




(-14, -49, -15, -1, 2, 3)
(-14, -49, -15, -1, 3, 3)
(-15, -49, -15, 0, 5, 3)
(-16, -49, -16, 0, 6, 3)
(-18, -49, -15, 2, 4, 3)
(-19, -48, -15, 2, 0, 1)
(-19, -48, -15, 1, -2, 0)
(-17, -48, -14, 1, -4, -2)
(-15, -49, -14, 1, -4, -2)
(-14, -49, -14, 1, -3, -3)
(-14, -50, -14, 1, -3, -3)
(-14, -50, -14, 2, -3, -2)
(-13, -50, -14, 2, -3, -2)
(-14, -51, -13, 1, -2, -1)
(-13, -51, -13, 1, 0, 0)
(-13, -51, -13, 0, 1, 0)
(-14, -51, -12, 0, 2, 0)
(-15, -51, -12, 0, 1, 0)
(-15, -51, -13, 0, 0, 0)
(-14, -51, -14, 0, 0, 0)
(-14, -50, -13, 0, 1, 0)
(-14, -50, -14, 0, 1, 0)
(-15, -51, -14, 0, 0, 0)
(-14, -51, -13, 0, 0, 1)
(-15, -51, -13, 0, 0, 1)
(-15, -51, -13, 0, 1, 1)
(-15, -51, -14, 0, 1, 1)
(-15, -51, -14, 0, 1, 1)
(-15, -51, -15, 0, 0, 1)
(-14, -50, -15, -1, 1, 2)
(-13, -51, -16, -2, 3, 2)
(-14, -53, -17, -3, 7, 3)
(-19, -52, -17, -3, 9, 3)
(-29, -49, -20, -4, 9, 1)
(-40, -47, -26, -6, 4, -4)
(-49, -53, -37, -11, -15, -22)
(-41, -56, -39, -5, -12, -25)
(-36, -56, -40, 4, 5, -22)
(-37, -53, -42, 10, 26, -17)
unpack requires a buffer of 20 bytes
(-63, -51, -50, 33, 63, -24)
(-69, -47, -50, 41, 54, -38)
(-68, -42, -46, 44, 35, -53)
(-55, -38, -43, 45, 20, -67)
(-41, -37, -38, 48, 16, -74)
(-29, -35, -33, 51, 17, -80)
(-21, -34, -30, 55, 22, -84)
(-16, -33, -26, 58, 27, -86)
(-15, -31, -23, 64, 30, -89)
(-16, -28, -22, 69, 26, -94)
(-13, -24, -19, 73, 15, -99)
(-8, -21, -15, 76, 4, -106)
(0, -18, -12, 80, -4, -110)
(7, -14, -8, 85, -8, -114)
(12, -10, -5, 89, -10, -117)
(20, -7, -1, 90, -12, -120)
(30, -5, 1, 90, -13, -123)
(42, -3, 4, 90, -11, -125)
(56, -2, 8, 89, -4, -123)
(65, -1, 14, 82, 2, -120)
(71, -3, 19, 77, 10, -112)
(72, -6, 24, 81, 17, -100)
(72, -6, 29, 88, 19, -86)
(70, -5, 36, 94, 18, -77)
(67, -1, 47, 96, 12, -73)
(66, 3, 64, 96, 0, -69)
(73, 11, 80, 90, -7, -62)
(88, 18, 89, 67, 7, -58)
(89, 13, 91, 44, 15, -57)
(94, 1, 91, 28, 18, -56)
(93, -6, 93, 23, 17, -49)
(96, -7, 94, 19, 11, -39)
(105, -3, 94, 9, 5, -31)
(114, -4, 94, -3, 1, -23)
BatchID:  3




(-22, -44, -17, 2, 2, 0)
(-23, -44, -17, 1, 1, -1)
(-23, -44, -17, 2, 0, -1)
(-23, -44, -16, 2, 0, -1)
(-22, -44, -17, 2, 0, -1)
(-21, -44, -17, 1, 0, -1)
(-21, -45, -16, 1, 0, -1)
(-21, -44, -16, 2, 0, 0)
(-21, -44, -17, 2, 1, 0)
(-21, -43, -16, 2, 2, 0)
(-22, -44, -16, 1, 2, 0)
(-23, -45, -16, 1, 1, 0)
(-22, -45, -16, 1, 0, 0)
(-21, -44, -16, 1, 0, 0)
(-21, -44, -16, 1, 0, 0)
(-20, -44, -16, 1, 0, 0)
(-21, -45, -16, 0, 1, -1)
(-22, -45, -17, 0, 0, 0)
(-21, -45, -17, 0, 0, 0)
(-21, -45, -16, 1, 0, 0)
(-22, -45, -16, 0, 0, 0)
(-21, -45, -16, 0, 0, 0)
(-20, -45, -16, 0, 0, 0)
(-20, -45, -16, 0, 0, 1)
