(17, 75, -16, 0, 30, 65)
(16, 75, -18, 0, 34, 63)
(15, 76, -18, 0, 38, 60)
(13, 75, -19, 1, 42, 56)
(11, 74, -20, 1, 45, 51)
(9, 72, -20, 2, 47, 46)
(7, 70, -20, 4, 49, 40)
(6, 69, -19, 6, 49, 34)
(5, 68, -18, 7, 49, 28)
(6, 67, -17, 9, 47, 23)
(7, 67, -16, 9, 46, 20)
(8, 68, -14, 9, 44, 18)
(8, 69, -13, 7, 42, 16)
(10, 69, -13, 4, 39, 16)
(11, 68, -13, 1, 37, 16)
(12, 68, -13, 0, 34, 18)
(13, 69, -14, -3, 33, 20)
(14, 70, -14, -5, 32, 22)
(15, 69, -15, -6, 31, 25)
(14, 69, -16, -8, 32, 27)
(13, 67, -16, -7, 33, 29)
(13, 65, -17, -5, 35, 29)
(11, 66, -17, -2, 38, 29)
(10, 67, -17, -1, 40, 29)
(8, 69, -18, 0, 42, 27)
(6, 71, -18, 0, 42, 25)
(4, 72, -19, 0, 41, 22)
(3, 72, -20, -1, 39, 19)
(2, 68, -20, -1, 37, 16)
(0, 67, -20, 0, 35, 13)
(0, 66, -19, 3, 31, 10)
(0, 67, -18, 7, 28, 6)
(0, 70, -18, 11, 25, 2)
(0, 75, -17, 11, 23, -2)
(0, 75, -16, 9, 17, -5)
(1, 76, -17, 12, 11, -5)
(1, 82, -17, 11, 4, -5)
(-1, 83, -16, 4, -6, -6)
(-3, 75, -14, -2, -19, -6)
(-3, 66, -13, -3, -31, -4)
(-4, 62, -11, 0, -43, -1)
(-3, 61, -9, 0, -53, -1)
(-2, 59, -8, -2, -61, -4)
(-1, 56, -8, -3, -64, -7)
(0, 56, -8, -2, -67, -11)
(1, 62, -9, -2, -68, -18)
(5, 70, -10, -7, -67, -29)
(11, 79, -14, -16, -63, -43)
(18, 84, -17, -25, -57, -58)
(24, 88, -22, -31, -47, -72)
(29, 91, -25, -35, -37, -84)
(33, 93, -27, -37, -27, -92)
(35, 90, -28, -38, -19, -96)
(35, 81, -29, -35, -11, -94)
(32, 72, -28, -28, -7, -87)
(28, 65, -28, -17, -4, -77)
(24, 61, -28, -5, -3, -68)
(19, 59, -28, 4, -6, -61)
(15, 58, -28, 14, -12, -56)
(12, 58, -25, 21, -22, -51)
(11, 59, -23, 25, -34, -46)
(12, 60, -22, 27, -46, -40)
(14, 61, -20, 26, -58, -33)
(15, 61, -19, 23, -70, -26)
(18, 60, -19, 19, -80, -18)
(21, 59, -18, 17, -87, -10)
(22, 59, -16, 17, -90, -3)
(23, 59, -15, 15, -92, 1)
(25, 58, -14, 13, -91, 5)
(27, 56, -12, 11, -85, 6)
(28, 55, -12, 10, -76, 7)
BatchID:  2




(14, 91, -16, 12, 64, 34)
(12, 85, -15, 7, 63, 34)
(15, 82, -17, 7, 65, 32)
(15, 86, -19, 7, 70, 27)
(11, 87, -19, 4, 72, 23)
(9, 82, -19, 1, 72, 20)
(6, 76, -18, 2, 72, 18)
(3, 71, -17, 1, 72, 14)
(1, 64, -18, 1, 72, 9)
(-4, 58, -17, 2, 70, 3)
(-8, 53, -16, 6, 64, -2)
(-12, 52, -15, 10, 55, -8)
(-14, 53, -13, 16, 41, -13)
(-15, 57, -11, 19, 25, -16)
(-13, 62, -9, 19, 7, -18)
(-11, 67, -9, 15, -9, -19)
(-7, 70, -9, 9, -25, -19)
(-3, 72, -9, 4, -38, -20)
(0, 75, -9, -2, -48, -22)
(5, 77, -11, -10, -54, -26)
(10, 78, -13, -17, -55, -31)
(14, 79, -16, -23, -54, -37)
(18, 80, -17, -27, -51, -42)
(20, 79, -19, -30, -47, -45)
(21, 76, -21, -30, -43, -47)
(22, 72, -21, -28, -38, -47)
(22, 70, -22, -23, -32, -46)
(22, 68, -22, -18, -25, -46)
(20, 66, -23, -12, -19, -46)
(19, 66, -22, -5, -15, -48)
(16, 67, -23, 0, -13, -50)
(14, 70, -22, 5, -15, -50)
(12, 71, -20, 7, -20, -50)
(11, 72, -20, 7, -27, -48)
(12, 72, -19, 6, -34, -47)
(12, 72, -19, 4, -41, -45)
(14, 71, -18, 1, -47, -45)
(16, 68, -19, 0, -52, -45)
(17, 68, -18, 1, -55, -44)
(19, 67, -17, 1, -57, -43)
(20, 67, -16, 0, -58, -43)
(21, 65, -15, 0, -59, -42)
(22, 62, -14, 0, -58, -40)
(22, 61, -13, 0, -58, -38)
(23, 60, -13, 2, -57, -35)
(22, 58, -10, 4, -57, -32)
(22, 58, -7, 9, -59, -28)
(25, 61, -3, 11, -59, -24)
(29, 62, 0, 7, -56, -21)
(31, 58, 1, 1, -49, -18)
(32, 55, 3, 0, -40, -12)
(30, 54, 3, 0, -31, -7)
(29, 55, 4, 0, -23, -3)
(26, 55, 4, -2, -17, -1)
(24, 52, 4, -2, -14, 1)
(24, 53, 4, 1, -12, 4)
(25, 58, 6, 5, -9, 6)
(29, 64, 5, 5, -8, 8)
(39, 79, 3, 9, -2, 10)
(52, 96, 1, 0, 11, 10)
(55, 95, 0, -22, 35, 7)
(45, 75, -5, -30, 52, 12)
(37, 68, -8, -20, 61, 26)
(33, 77, -8, -7, 64, 39)
(28, 81, -8, -6, 66, 46)
(26, 75, -8, -5, 68, 51)
(23, 69, -6, 1, 75, 51)
(19, 69, -6, 8, 81, 48)
(14, 72, -7, 7, 85, 40)
(11, 74, -8, 2, 85, 29)
BatchID:  3




(19, 70, -12, 8, 20, 66)
(18, 72, -13, 9, 21, 69)
(16, 73, -13, 10, 22, 72)
(17, 75, -14, 11, 23, 74)
(16, 77, -14, 12, 25, 75)
(14, 79, -14, 14, 29, 75)
(14, 80, -14, 15, 32, 73)
(15, 81, -16, 14, 38, 66)
(13, 79, -16, 13, 46, 58)
(10, 76, -17, 16, 53, 51)
(7, 77, -17, 20, 57, 43)
(6, 81, -17, 22, 58, 36)
(6, 86, -17, 21, 57, 29)
(6, 89, -17, 18, 55, 22)
(8, 90, -17, 12, 54, 16)
(10, 90, -18, 8, 54, 10)
(11, 89, -19, 5, 55, 6)
(10, 87, -19, 2, 53, 3)
(11, 84, -20, 1, 51, 1)
(10, 84, -21, 0, 49, 0)
(9, 82, -21, -2, 46, 0)
(6, 75, -19, -4, 39, 2)
(1, 69, -18, -3, 29, 8)
(-5, 61, -14, -1, 16, 16)
(-9, 56, -10, 0, 1, 23)
(-12, 51, -6, -1, -14, 28)
(-12, 46, -5, -1, -27, 30)
(-11, 43, -2, 0, -35, 28)
(-11, 44, -2, 3, -41, 25)
(-10, 51, -2, 6, -46, 19)
(-8, 64, -3, 4, -50, 10)
(-3, 78, -5, -3, -54, -1)
(2, 92, -9, -18, -57, -14)
(8, 100, -14, -36, -56, -27)
(14, 105, -21, -54, -52, -41)
(17, 104, -28, -67, -47, -56)
(19, 100, -32, -74, -41, -68)
(22, 95, -34, -74, -34, -79)
(25, 87, -36, -68, -24, -88)
(25, 79, -36, -56, -13, -97)
(24, 74, -34, -41, -5, -103)
(22, 72, -33, -25, 0, -109)
(20, 70, -31, -10, 2, -112)
(18, 70, -30, 2, 2, -113)
(18, 72, -29, 12, -1, -113)
(17, 76, -27, 18, -7, -111)
(16, 76, -26, 20, -17, -107)
(16, 75, -24, 21, -28, -100)
(18, 75, -22, 21, -40, -91)
(20, 76, -21, 17, -50, -83)
(23, 73, -20, 11, -59, -75)
(26, 67, -18, 8, -63, -68)
(27, 62, -16, 6, -65, -60)
(27, 57, -15, 5, -65, -52)
(28, 53, -14, 6, -64, -44)
(29, 50, -13, 8, -60, -38)
(27, 48, -11, 11, -57, -32)
(26, 46, -9, 15, -55, -25)
(26, 45, -7, 18, -53, -19)
(26, 44, -5, 21, -50, -12)
(26, 44, -4, 25, -47, -6)
(25, 47, -3, 27, -43, 0)
(25, 50, -2, 27, -40, 4)
(26, 52, -2, 26, -36, 7)
(28, 53, -2, 25, -30, 10)
(30, 59, -3, 25, -23, 13)
(32, 66, -4, 23, -16, 15)
(35, 73, -6, 20, -9, 18)
BatchID:  4




(14, 58, -24, 6, -36, -42)
(15, 57, -24, 8, -39, -42)
(16, 56, -23, 10, -41, -41)
(17, 56, -21, 12, -45, -39)
(18, 55, -21, 12, -48, -36)
(19, 55, -21, 12, -52, -34)
(20, 53, -19, 11, -54, -30)
(22, 52, -19, 11, -56, -26)
(23, 51, -19, 11, -58, -22)
(25, 49, -18, 11, -59, -16)
(26, 47, -17, 12, -59, -9)
(27, 45, -16, 13, -58, -2)
(27, 44, -16, 16, -56, 6)
(27, 45, -15, 20, -53, 14)
(26, 48, -12, 22, -51, 22)
(24, 52, -13, 23, -50, 29)
(23, 55, -13, 22, -50, 35)
(22, 58, -13, 21, -50, 40)
(21, 60, -13, 20, -50, 46)
(18, 60, -12, 25, -50, 51)
(18, 67, -8, 33, -52, 59)
(21, 76, -6, 31, -52, 63)
(29, 80, -5, 18, -41, 57)
(35, 78, -6, 3, -16, 43)
(31, 72, -9, -4, 11, 29)
(23, 69, -14, -7, 31, 18)
(17, 67, -19, -7, 43, 9)
(11, 66, -22, -6, 47, 1)
(8, 65, -24, -4, 44, -2)
(6, 65, -26, -1, 36, -3)
(5, 65, -26, 2, 25, 0)
