
(-43, 5, -10, 0, 3, 1)
(-46, 5, -11, 1, 1, 2)
(-44, 5, -11, 2, -1, 4)
(-43, 7, -10, 3, -1, 3)
(-42, 7, -9, 2, 0, 2)
(-41, 6, -9, 2, 0, 1)
(-42, 6, -9, 2, 0, 1)
(-43, 5, -11, 2, 0, 1)
(-44, 5, -11, 3, 0, 2)
(-45, 7, -11, 4, -1, 2)
(-46, 8, -10, 4, -1, 2)
(-45, 7, -9, 4, -1, 1)
(-46, 8, -8, 4, 0, 1)
(-45, 6, -8, 4, -1, 1)
(-45, 5, -8, 5, -2, 1)
(-43, 4, -7, 4, 0, 1)
(-47, 0, -7, 5, 5, -1)
(-53, -6, -7, 6, 15, -6)
(-59, -14, -5, 5, 21, -13)
(-71, -33, -3, 2, 21, -22)
(-83, -57, -2, 1, 16, -29)
(-98, -79, 2, 2, 7, -38)
(-108, -101, 7, 1, -8, -45)
(-104, -125, 7, 8, -19, -54)
(-103, -127, 7, 24, -21, -63)
(-105, -127, 10, 34, -29, -63)
(-101, -127, 12, 44, -39, -49)
(-92, -127, 10, 54, -53, -38)
(-84, -85, 14, 72, -62, -35)
(-68, -25, 27, 69, -61, -48)
(-22, 33, 33, 33, -43, -65)
(10, 35, 20, -7, -5, -71)
(0, 7, -16, -21, 15, -62)
(-19, -3, -42, 2, 6, -28)
(-10, 42, -41, 19, -24, 3)
(19, 84, -26, 15, -41, 39)
(52, 108, -22, -4, -23, 73)
(57, 105, -34, -16, 29, 81)
(-2, 121, -51, -11, 75, 60)
(-58, 127, -61, -22, 74, 46)
(-85, 116, -66, -35, 30, 55)
(-83, 106, -60, -14, -7, 55)
(-58, 109, -47, -8, -28, 42)
(-20, 94, -37, -3, -20, 12)
(15, 80, -28, 5, 8, -14)
(22, 75, -27, 15, 38, -31)
(6, 81, -27, 22, 53, -37)
(-8, 84, -31, 18, 37, -26)
(-7, 82, -33, 14, 14, -13)
(10, 73, -35, 10, 5, -3)
(10, 57, -41, 12, 16, -4)
(-14, 43, -43, 25, 26, -2)
(-51, 49, -46, 32, 14, 2)
(-64, 51, -40, 31, 1, 14)
(-55, 52, -31, 24, -2, 12)
(-58, 49, -29, 22, 10, 14)
(-53, 42, -14, 11, 22, 7)
(-66, 26, -9, 4, 36, 9)
(-76, 17, -7, -9, 47, 5)
(-78, 7, -9, -22, 48, -2)
(-73, -11, -18, -39, 52, -3)
(-56, -34, -24, -54, 64, -9)
(-48, -59, -29, -55, 72, -3)
(-61, -70, -31, -55, 66, 19)
(-89, -61, -20, -54, 35, 39)
(-79, -62, -6, -63, 3, 51)
(-41, -69, 6, -67, 7, 43)
(-35, -79, 0, -68, 38, 29)
(-56, -90, -11, -62, 58, 12)
(-72, -109, -19, -51, 49, 10)
(-78, -113, -21, -30, 21, 16)
BatchID:  2




(-41, 6, -22, 3, -3, 4)
(-40, 4, -22, 5, -4, 6)
(-38, 5, -22, 7, -4, 7)
(-39, 6, -21, 7, -3, 6)
(-39, 3, -23, 8, -1, 4)
(-42, 3, -25, 10, -2, 5)
(-44, 4, -24, 11, -3, 7)
(-43, 6, -23, 13, -4, 7)
