
(-21, -38, -33, 0, 3, 3)
(-23, -37, -33, 0, 0, 3)
(-24, -37, -34, 0, -3, 2)
(-22, -37, -33, 0, -5, 0)
(-19, -36, -33, 0, -6, 0)
(-17, -35, -33, 0, -4, 0)
(-16, -35, -33, -2, 0, -1)
(-17, -37, -33, -2, 1, 0)
(-18, -37, -33, -1, 1, 0)
(-19, -37, -34, -1, 0, 1)
(-18, -37, -34, 0, -1, 1)
(-17, -37, -33, 0, 0, 2)
(-18, -34, -34, 1, 0, 3)
(-19, -34, -34, 0, 0, 2)
(-20, -37, -35, -1, 0, 2)
(-20, -38, -35, 0, -1, 2)
(-20, -38, -33, 1, -1, 1)
(-20, -38, -33, 0, -2, 1)
(-18, -39, -33, 0, -3, 1)
(-15, -37, -33, -1, -1, 2)
(-13, -37, -33, -2, 3, 4)
(-14, -36, -33, -4, 9, 6)
(-16, -34, -38, -10, 17, 9)
(-19, -37, -46, -20, 28, 7)
(-25, -49, -60, -33, 39, 1)
(-42, -66, -83, -26, 39, -5)
(-57, -74, -102, -2, 15, -5)
(-63, -66, -112, 23, -8, 7)
(-63, -50, -115, 31, -9, 17)
(-65, -45, -125, 41, -2, 7)
(-70, -49, -127, 63, 12, -11)
(-80, -50, -127, 85, 29, -31)
(-84, -35, -127, 107, 27, -37)
(-80, -23, -127, 123, 10, -39)
(-77, -11, -113, 127, -8, -44)
(-71, -3, -90, 127, -35, -54)
(-56, 1, -79, 127, -55, -58)
(-41, 4, -69, 127, -55, -56)
(-33, 10, -60, 127, -50, -57)
(-30, 14, -44, 127, -45, -69)
(-23, 20, -32, 127, -45, -80)
(-17, 19, -23, 119, -48, -81)
(-8, 17, -16, 113, -51, -80)
(-1, 15, -12, 113, -51, -80)
(5, 13, -10, 111, -46, -81)
(10, 12, -9, 112, -34, -79)
(12, 14, -6, 119, -17, -74)
(10, 18, -2, 127, -2, -71)
(3, 25, 3, 127, 7, -70)
(-5, 30, 6, 121, 0, -71)
(-10, 30, 7, 115, -24, -73)
(-7, 30, 12, 110, -52, -75)
(-1, 30, 15, 112, -79, -71)
(7, 34, 21, 116, -105, -66)
(17, 40, 30, 113, -127, -66)
(25, 49, 37, 96, -127, -60)
(35, 51, 37, 72, -127, -54)
(57, 65, 33, 33, -127, -52)
(108, 70, -4, -45, -127, -80)
(127, 118, 30, -127, -127, -117)
(127, 47, 45, -127, -127, -127)
(127, -91, 19, -28, -111, -127)
(127, -14, 82, 24, 4, -61)
(127, 0, 36, 13, 36, -24)
(127, 23, 57, -23, 81, -12)
(127, -5, 35, -31, 83, 0)
(127, -13, 30, -13, 91, 17)
(127, -2, 35, -1, 75, 35)
(123, 6, 34, -9, 51, 43)
(117, 5, 31, -21, 34, 44)
(113, -4, 28, -23, 29, 49)
BatchID:  2




(-30, -22, -43, 13, 0, 0)
(-30, -21, -41, 13, -4, 0)
(-29, -20, -39, 11, -8, -1)
(-27, -21, -38, 10, -10, -3)
(-25, -22, -37, 10, -10, -4)
(-24, -22, -34, 11, -11, -3)
(-23, -21, -33, 10, -10, -2)
(-22, -20, -32, 7, -9, -2)
(-20, -21, -31, 3, -7, -2)
(-20, -24, -32, 3, -6, -1)
(-20, -24, -31, 3, -4, 0)
(-20, -23, -30, 5, -1, 4)
(-21, -21, -30, 5, 2, 4)
(-23, -20, -28, 2, 3, 2)
(-23, -20, -28, -1, 1, 3)
(-23, -21, -32, -3, 1, 5)
(-23, -20, -38, -7, 5, 3)
(-27, -23, -46, -10, 11, 1)
(-36, -28, -55, -10, 13, 0)
(-42, -32, -63, -6, 8, 1)
(-40, -31, -71, -2, 10, 0)
(-41, -35, -84, -5, 29, -8)
(-58, -44, -107, -3, 48, -22)
(-83, -50, -127, 9, 44, -35)
(-94, -47, -127, 22, 20, -39)
(-86, -44, -126, 32, 8, -30)
(-74, -47, -127, 46, 1, -34)
(-62, -45, -127, 64, 7, -41)
(-69, -31, -127, 90, 28, -35)
(-81, -18, -127, 98, 30, -38)
(-79, -11, -125, 102, 16, -49)
(-71, -8, -126, 114, 6, -48)
(-64, -3, -126, 127, 1, -36)
(-62, 8, -122, 127, -1, -28)
(-63, 21, -121, 127, -13, -24)
(-61, 33, -114, 127, -38, -24)
(-51, 44, -105, 127, -69, -26)
(-39, 54, -91, 127, -99, -30)
(-19, 63, -72, 127, -123, -28)
(-1, 71, -52, 127, -127, -23)
(17, 82, -32, 127, -127, -23)
(34, 90, -15, 127, -127, -34)
(47, 89, -2, 101, -127, -61)
(55, 83, 8, 54, -127, -86)
(53, 62, 14, 27, -118, -107)
(51, 50, 23, 22, -111, -120)
(52, 44, 27, 21, -111, -121)
(56, 42, 31, 22, -108, -121)
(61, 37, 38, 14, -111, -117)
(74, 29, 49, 15, -117, -127)
(99, 26, 54, 13, -98, -127)
(109, 14, 52, 28, -67, -124)
(114, 12, 53, 36, -43, -125)
(111, 8, 48, 56, -20, -127)
(123, 12, 69, 44, -34, -109)
(127, -7, 71, 68, -11, -109)
(127, 10, 104, 57, -5, -71)
(127, 7, 97, 30, 11, -50)
(127, 7, 90, 11, 34, -38)
(127, -2, 92, 0, 31, -21)
(127, -5, 90, -2, 28, -5)
(127, 0, 90, -5, 26, 7)
(127, 5, 88, -15, 28, 20)
(127, 3, 83, -25, 31, 30)
(120, 1, 76, -31, 32, 41)
(108, 0, 72, -32, 29, 52)
(97, 3, 71, -34, 23, 61)
(91, 5, 70, -37, 18, 68)
(85, 9, 68, -43, 16, 75)
(74, 12, 65, -51, 16, 80)
(66, 11, 60, -57, 16, 82)
(56, 10, 54, -61, 12, 85)
BatchID:  3




(-23, -39, -18, -2, 0, 0)
(-23, -40, -18, -3, 0, 0)
(-23, -40, -18, -2, 0, 1)
(-23, -41, -19, -1, 0, 2)
(-24, -40, -18, -1, 1, 2)
(-26, -40, -18, -1, 1, 2)
(-28, -40, -17, -1, 0, 2)
(-28, -40, -17, -1, 0, 1)
(-29, -40, -18, -1, -1, 0)
(-28, -41, -18, -2, -4, 0)
(-26, -41, -19, -2, -4, 0)
(-24, -41, -19, -1, -2, 0)
(-24, -39, -18, -1, 1, 0)
(-26, -39, -19, -2, 3, 0)
(-28, -40, -20, -2, 1, -1)
(-28, -40, -19, -2, -2, -1)
(-26, -40, -20, -2, -4, 0)
(-23, -40, -21, -1, -2, 0)
(-23, -41, -21, -1, 0, 0)
(-25, -41, -21, 0, 1, 1)
(-27, -42, -23, -2, 3, 1)
(-35, -45, -29, -6, 3, -1)
(-42, -52, -38, -15, -3, -3)
(-44, -59, -49, -17, -3, -9)
(-42, -65, -65, -23, 16, -13)
(-54, -72, -92, -13, 55, -14)
(-84, -73, -113, 11, 68, -19)
(-114, -72, -121, 30, 27, -25)
(-100, -63, -116, 34, -19, -27)
(-80, -60, -112, 50, -30, -33)
(-64, -51, -114, 65, -27, -37)
(-57, -36, -106, 80, 0, -33)
(-67, -28, -103, 91, 17, -38)
(-75, -20, -101, 99, 16, -47)
(-79, -11, -87, 106, 4, -56)
(-74, -5, -75, 114, -10, -62)
(-60, 0, -66, 125, -20, -60)
(-51, 9, -58, 127, -25, -56)
(-46, 16, -51, 127, -30, -53)
(-38, 25, -42, 127, -39, -50)
(-31, 32, -34, 127, -51, -48)
(-25, 39, -27, 127, -66, -49)
(-17, 49, -18, 127, -91, -44)
(-6, 55, -11, 127, -127, -35)
(12, 56, -9, 127, -127, -33)
(34, 62, -5, 127, -127, -41)
(55, 65, -2, 93, -127, -61)
(72, 68, 1, 41, -127, -87)
(72, 72, 15, -16, -127, -105)
(64, 67, 31, -59, -127, -110)
(78, 73, 55, -121, -127, -127)
(127, 18, 56, -116, -127, -127)
