(54, -41, -26, 0, 0, 0)
(54, -41, -26, 0, -1, -1)
(55, -41, -25, 0, -1, -1)
(56, -42, -26, 0, 0, -1)
(55, -42, -25, 0, 0, 0)
(55, -41, -26, 0, 0, 0)
(55, -41, -27, 0, 0, 0)
(56, -41, -26, -1, 0, 0)
(56, -41, -26, -1, 0, 0)
(55, -41, -27, -1, 0, 0)
(54, -41, -27, 0, 0, 0)
(55, -41, -26, 0, 0, -1)
(55, -40, -26, 0, -1, -1)
(57, -40, -26, -1, 0, -2)
(56, -41, -27, -1, 1, -1)
(55, -42, -28, -1, 0, -1)
(56, -42, -27, 0, 0, 0)
(55, -42, -26, 0, 0, 0)
(56, -40, -26, 0, 0, 0)
(57, -39, -25, 0, 0, 0)
(56, -41, -26, -1, 0, 0)
(55, -41, -25, -1, 0, -1)
(55, -40, -26, -2, 0, -1)
(57, -40, -26, -2, 0, 0)
(61, -38, -29, -3, 2, 1)
(71, -35, -35, -1, 7, 4)
(79, -38, -44, 0, 9, 10)
(83, -40, -49, 5, 5, 20)
(88, -37, -50, 12, 1, 31)
(92, -29, -51, 17, 2, 43)
(96, -22, -55, 16, 13, 53)
(99, -21, -68, 11, 27, 64)
(98, -29, -82, 15, 39, 76)
(93, -41, -99, 30, 40, 86)
(84, -47, -103, 58, 29, 88)
(86, -42, -101, 89, 13, 91)
(90, -36, -97, 110, -7, 97)
(99, -37, -96, 125, -24, 108)
(106, -39, -95, 127, -33, 127)
(107, -37, -90, 127, -31, 127)
(100, -28, -82, 127, -19, 127)
(85, -13, -75, 127, -5, 127)
(68, 6, -68, 127, 7, 127)
(39, 40, -34, 127, 11, 127)
(48, 52, -61, 127, -8, 127)
(42, 89, -45, 127, 4, 127)
(37, 98, -38, 127, 4, 127)
(31, 99, -31, 127, 5, 127)
(21, 106, -19, 127, 11, 127)
(15, 110, -16, 127, 12, 127)
(15, 124, -7, 127, 9, 116)
(18, 127, 0, 127, 9, 113)
(23, 127, 6, 127, 14, 113)
(29, 122, 8, 127, 34, 107)
(19, 117, 7, 127, 64, 109)
(0, 119, 8, 127, 73, 117)
(-20, 123, 12, 127, 58, 127)
(-46, 127, 25, 127, 28, 127)
(-56, 127, 33, 127, -13, 119)
(-44, 127, 42, 101, -53, 89)
(-32, 123, 53, 65, -60, 54)
(-16, 108, 57, 44, -52, 26)
(-2, 101, 60, 44, -25, 6)
(-2, 104, 63, 54, 3, -6)
(-12, 113, 66, 51, 19, -15)
(-18, 119, 69, 34, 16, -25)
(-21, 122, 76, 16, 9, -32)
(-24, 122, 78, 0, 6, -30)
(-36, 123, 79, -14, -1, -21)
(-45, 126, 79, -27, -20, -15)
BatchID:  2




(64, -45, -42, -3, -9, 20)
(62, -43, -40, 2, -8, 23)
(60, -39, -37, 7, -5, 26)
(56, -34, -36, 9, -4, 29)
(55, -27, -35, 7, -2, 29)
(54, -27, -36, 3, 0, 26)
(51, -30, -37, 2, 0, 20)
(50, -33, -39, 5, -2, 17)
(50, -37, -38, 9, -7, 14)
(50, -40, -38, 14, -15, 16)
(53, -42, -38, 19, -19, 23)
(56, -43, -39, 25, -18, 33)
(10, -52, -9, 56, 12, 17)
(15, -54, -14, 59, -3, 18)
(25, -55, -16, 66, -19, 29)
(34, -57, -14, 73, -24, 41)
(36, -59, -6, 86, -22, 53)
(32, -47, 3, 97, -12, 59)
(23, -38, 13, 93, -3, 62)
(14, -37, 16, 86, 3, 61)
(6, -41, 17, 84, 4, 58)
(-1, -49, 17, 88, -3, 52)
(-9, -54, 26, 96, -20, 52)
(-12, -47, 35, 105, -35, 60)
(-6, -39, 45, 104, -38, 64)
(-1, -28, 56, 96, -31, 58)
(-1, -20, 60, 83, -12, 45)
(-5, -23, 54, 65, 1, 32)
(-3, -37, 44, 54, 4, 24)
(-1, -50, 37, 56, 4, 25)
(0, -58, 30, 71, 0, 33)
(0, -56, 27, 90, -10, 46)
(0, -41, 31, 102, -23, 57)
(2, -31, 35, 102, -32, 63)
(8, -30, 38, 106, -35, 67)
(14, -31, 35, 115, -30, 70)
(15, -32, 30, 127, -17, 77)
(9, -35, 25, 127, -7, 81)
(3, -20, 24, 127, -9, 86)
(2, 4, 24, 127, -17, 99)
(6, 23, 27, 127, -29, 109)
(13, 44, 31, 127, -29, 101)
(16, 57, 29, 127, -15, 73)
(9, 61, 31, 127, -5, 60)
(6, 52, 27, 127, -2, 56)
(9, 47, 27, 127, 2, 64)
(11, 55, 28, 127, 1, 93)
(11, 72, 31, 127, 3, 122)
(1, 92, 40, 127, -1, 127)
(-4, 127, 53, 127, -8, 106)
(-17, 127, 73, 127, -10, 60)
(-21, 127, 90, 53, -17, 23)
(-16, 112, 89, 7, -13, 0)
(-11, 97, 80, -8, -5, -10)
(-5, 95, 72, -16, 4, -23)
(-3, 95, 60, -32, 11, -39)
(-4, 87, 54, -42, 11, -45)
(-5, 77, 51, -40, 5, -42)
BatchID:  3




(51, -42, -25, -5, 4, 0)
(51, -42, -25, -7, 2, -1)
(52, -42, -25, -8, 1, -1)
(54, -42, -26, -9, 1, -2)
(54, -43, -25, -10, 2, -4)
(54, -44, -26, -10, 4, -4)
(53, -43, -26, -9, 4, -4)
(54, -41, -26, -10, 5, -3)
(54, -41, -26, -12, 6, -4)
(55, -44, -29, -12, 6, -5)
(53, -46, -29, -10, 4, -3)
(54, -44, -30, -8, 2, 0)
(56, -43, -29, -8, 1, 1)
(57, -43, -29, -6, 3, 1)
(56, -41, -28, -5, 4, 2)
(56, -38, -27, -6, 5, 2)
(57, -38, -28, -9, 7, 1)
(56, -39, -28, -9, 7, 0)
(54, -40, -29, -8, 6, -2)
(55, -39, -29, -9, 3, -2)
(58, -37, -32, -10, 1, -2)
(68, -34, -38, -9, 3, 0)
(76, -34, -44, -7, 4, 2)
(86, -32, -54, 0, 4, 10)
(94, -29, -63, 6, 4, 24)
(98, -27, -70, 7, -4, 40)
(50, -4, -66, 127, -41, 127)
(51, 6, -56, 127, -53, 127)
(46, 31, -31, 127, -75, 127)
(59, 50, -46, 127, -77, 127)
(69, 74, -45, 127, -70, 127)
(77, 101, -45, 127, -58, 127)
(84, 127, -49, 127, -34, 127)
(80, 127, -49, 127, 2, 127)
(43, 127, -14, 127, 39, 127)
(21, 127, 6, 127, 40, 127)
(29, 127, 34, 127, 18, 122)
(14, 127, 58, 127, 26, 117)
(-16, 127, 83, 127, 23, 117)
(-43, 127, 105, 107, 4, 103)
(-55, 127, 117, 53, -9, 69)
(-49, 127, 116, 2, -8, 24)
(-33, 127, 106, -31, 13, -25)
(-20, 109, 96, -41, 38, -65)
(-23, 98, 92, -33, 52, -80)
(-39, 98, 96, -25, 39, -73)
(-38, 101, 100, -26, 6, -58)
(-32, 110, 110, -39, -9, -52)
(-19, 109, 115, -66, -14, -62)
BatchID:  4




