

(-36, 15, -42, -4, 0, -5)
(-38, 17, -37, 0, -6, -8)
(-35, 21, -34, -1, -16, -14)
(-28, 21, -31, -13, -26, -14)
(-23, 16, -31, -25, -32, -5)
(-19, 5, -30, -32, -31, -3)
(-16, -3, -27, -29, -17, -2)
(-17, -7, -25, -20, 0, -3)
(-32, -1, -21, -13, 7, 0)
(-44, 1, -18, -24, -3, 1)
(-49, -3, -14, -43, -27, 0)
(-44, -13, -16, -55, -46, 0)
(-33, -20, -20, -57, -40, 5)
(-28, -29, -23, -61, -24, 3)
(-29, -36, -27, -61, -5, 2)
(-33, -43, -31, -55, 7, 2)
(-40, -47, -32, -47, 10, 7)
(-48, -46, -32, -38, 6, 11)
(-50, -44, -33, -32, -1, 10)
(-49, -41, -34, -26, -6, 6)
(-49, -40, -33, -22, -9, 0)
(-50, -39, -32, -15, -15, -5)
(-46, -33, -32, -9, -22, -7)
(-40, -27, -33, -8, -21, -6)
(-36, -32, -35, -17, -11, -6)
(-41, -53, -33, -22, 0, -13)
(-46, -67, -32, -19, 8, -20)
(-48, -80, -33, -12, 14, -24)
(-49, -97, -43, -11, 13, -34)
(-53, -117, -51, -1, 5, -46)
(-57, -127, -50, 16, -9, -52)
(-47, -127, -54, 34, -25, -48)
(-22, -127, -56, 63, -26, -31)
(-8, -107, -50, 91, -5, -18)
(0, -71, -36, 95, 15, -16)
(-11, -53, -38, 85, 38, -22)
(-28, -37, -33, 85, 33, -29)
(-36, -25, -22, 82, 6, -35)
(-36, -10, -9, 84, -34, -36)
(-21, 8, 4, 72, -77, -23)
(7, 31, 10, 63, -100, 25)
(36, 51, -11, 67, -66, 89)
(23, 84, -45, 64, 26, 88)
(-33, 121, -52, 9, 94, 37)
(-90, 127, -56, -30, 80, 18)
(-108, 127, -49, -52, 17, 39)
(-67, 106, -57, -44, -4, 56)
(-48, 93, -70, -38, 40, 30)
(-74, 89, -75, -35, 87, -17)
(-99, 76, -72, -27, 66, -33)
(-96, 66, -72, 2, 16, -23)
(-68, 63, -69, 45, -23, -4)
(-36, 78, -62, 72, -25, 0)
(-23, 91, -50, 77, -6, -7)
(-19, 99, -39, 65, 15, -16)
(-26, 95, -29, 45, 25, -23)
(-28, 80, -17, 18, 15, -24)
(-22, 56, -13, -6, 0, -28)
(-16, 35, -8, -29, -9, -27)
(-10, 15, -5, -50, -18, -26)
(-3, -2, -4, -72, -24, -19)
(-3, -21, -6, -92, -25, -4)
(0, -47, -9, -105, -23, 7)
(2, -69, -12, -109, -11, 23)
(-2, -88, -19, -97, 12, 44)
(-20, -89, -27, -70, 40, 76)
(-41, -70, -31, -62, 49, 83)
(-56, -60, -40, -67, 53, 72)
BatchID:  2




(-37, -9, -27, 0, 0, 1)
(-36, -10, -27, -1, 0, 0)
(-36, -11, -27, -2, 0, 0)
(-36, -11, -27, -1, 0, 0)
(-36, -11, -27, -1, 0, 0)
(-36, -12, -28, 0, 0, 1)
(-37, -11, -27, 0, 0, 2)
(-37, -10, -26, 0, 0, 1)
(-36, -10, -27, -1, 0, 0)
(-36, -11, -26, -1, 0, 0)
(-36, -12, -27, 0, 0, 0)
(-36, -12, -27, 0, -1, 1)
(-36, -12, -27, 0, -1, 1)
(-35, -11, -27, 0, -1, 1)
(-35, -12, -28, 0, 0, 1)
(-35, -12, -28, -1, 0, 0)
(-33, -16, -27, -5, 2, 0)
(-33, -28, -27, -18, 5, -4)
(-30, -46, -29, -35, 11, -10)
(-28, -72, -38, -47, 24, -14)
(-47, -106, -48, -35, 40, -14)
(-67, -127, -58, -4, 34, -20)
(-77, -127, -60, 25, 2, -20)
(-65, -127, -55, 55, -32, -31)
(-43, -103, -49, 74, -55, -45)
(-19, -79, -39, 74, -70, -57)
(1, -66, -30, 64, -71, -56)
(21, -60, -27, 60, -61, -39)
(37, -45, -19, 61, -31, -11)
(27, -28, -17, 50, 15, 13)
