

(-16, -39, -32, -1, -1, 0)
(-16, -39, -32, -1, -1, 0)
(-16, -39, -32, -1, -1, 0)
(-16, -40, -31, -1, -1, 1)
(-16, -39, -31, -2, 0, 1)
(-16, -39, -32, -2, 0, 1)
(-16, -38, -32, -2, -1, 1)
(-16, -40, -32, -1, -1, 1)
(-16, -39, -32, -1, -3, 2)
(-15, -36, -33, -5, 1, 2)
(-14, -37, -37, -6, 4, 3)
(-14, -38, -40, -6, 9, 5)
(-17, -39, -41, -4, 12, 7)
(-21, -40, -41, -3, 12, 7)
(-25, -40, -41, -1, 10, 6)
(-28, -41, -43, 0, 5, 3)
(-28, -40, -41, 3, 0, 1)
(-26, -38, -40, 5, -5, -1)
(-22, -36, -40, 5, -6, -4)
(-19, -36, -39, 4, -6, -5)
(-17, -37, -38, 5, -4, -4)
(-16, -37, -37, 6, -2, -4)
(-15, -36, -33, 7, 0, -4)
(-38, -47, -118, -27, 72, -2)
(-64, -65, -127, -8, 81, -20)
(-89, -73, -127, 28, 43, -34)
(-87, -67, -127, 63, -1, -36)
(-78, -61, -127, 103, -20, -35)
(-67, -46, -127, 127, -34, -36)
(-52, -27, -121, 127, -26, -39)
(-46, -14, -110, 127, -3, -46)
(-45, -9, -97, 127, 23, -57)
(-41, 0, -44, 127, -22, -76)
(-26, 6, -37, 127, -32, -75)
(-16, 9, -28, 127, -33, -78)
(-12, 7, -15, 127, -31, -86)
(-10, 26, 27, 117, -40, -99)
(43, 16, 27, 58, -16, -73)
(43, 13, 24, 50, 3, -75)
(28, 5, 28, 61, -4, -54)
(26, 9, 33, 66, -10, -49)
(25, 15, 39, 72, -17, -47)
(28, 22, 44, 73, -26, -49)
(36, 27, 46, 66, -30, -55)
(45, 27, 46, 56, -27, -61)
BatchID:  2




(-28, -38, -26, 15, 5, 0)
(-31, -36, -21, 13, 3, -2)
(-29, -38, -22, 10, 0, -5)
(-29, -40, -22, 11, 0, -8)
(-29, -38, -20, 14, -1, -10)
(-30, -36, -18, 14, -4, -12)
(-28, -34, -17, 11, -9, -14)
(-22, -35, -18, 10, -9, -15)
(-20, -35, -20, 9, -5, -16)
(-23, -37, -21, 8, -5, -16)
(-24, -40, -21, 9, -11, -14)
(-22, -38, -22, 11, -15, -12)
(-15, -38, -20, 11, -3, -1)
(-16, -38, -17, 4, -1, -2)
(-15, -40, -21, 0, 3, 6)
(-15, -42, -20, 2, 0, 7)
(-16, -44, -18, 7, 0, 10)
(-18, -41, -16, 9, -2, 12)
(-21, -40, -12, 8, -3, 12)
(-24, -38, -11, 5, -4, 11)
(-26, -40, -17, 1, -14, 0)
(-27, -40, -19, -2, -7, -3)
(-28, -44, -21, -5, -3, -4)
(-57, -74, -77, -26, 31, -8)
(-74, -85, -94, 0, 34, -5)
(-90, -84, -105, 42, 28, -4)
(-99, -64, -106, 79, 22, -4)
(-114, -31, -97, 91, 33, -36)
(-89, -28, -81, 97, 10, -93)
(-62, 2, -39, 116, 11, -116)
(-57, 5, -30, 116, 5, -123)
(-50, 9, -20, 115, -4, -127)
(-42, 14, -7, 114, -16, -127)
(-29, 18, 2, 111, -27, -127)
(-13, 21, 7, 108, -36, -127)
(2, 24, 10, 102, -43, -125)
(14, 25, 12, 90, -47, -113)
(22, 23, 13, 74, -44, -105)
(30, 18, 14, 59, -31, -106)
(35, 19, 20, 46, -13, -105)
(34, 13, 21, 43, 6, -105)
(26, 12, 23, 46, 15, -99)
(22, 15, 24, 51, 6, -88)
BatchID:  3




(-26, -30, -26, 2, -7, 0)
(-24, -32, -27, 0, -5, 0)
(-22, -33, -27, 1, 0, 2)
(-21, -31, -27, 3, 3, 5)
(-22, -32, -27, 2, 8, 6)
(-27, -32, -27, 3, 10, 5)
(-32, -31, -27, 3, 5, 3)
(-33, -30, -27, 1, -2, 1)
(-29, -31, -28, 0, -8, 0)
(-23, -32, -29, 0, -7, 0)
(-20, -31, -27, 3, -2, 1)
(-21, -30, -27, 1, 3, 1)
(-24, -31, -27, 0, 5, 3)
(-26, -33, -29, 1, 5, 4)
(-28, -33, -28, 3, 3, 5)
(-28, -32, -27, 3, 0, 4)
(-29, -30, -26, 3, -1, 3)
(-27, -29, -26, 0, -2, 2)
(-30, -29, -28, -3, -1, 3)
(-28, -31, -29, -4, -1, 3)
(-38, -26, -49, -5, 39, 0)
(-76, -40, -84, 7, 6, -26)
(-71, -41, -93, 14, -11, -33)
(-64, -41, -99, 26, -19, -36)
(-58, -39, -100, 40, -12, -38)
(-56, -36, -100, 52, 3, -37)
(-61, -33, -101, 62, 21, -38)
(-69, -31, -100, 70, 33, -44)
