

(-15, 52, -8, -24, -40, -21)
(-15, 53, -7, -23, -45, -25)
(-14, 56, -6, -21, -52, -26)
(-12, 60, -7, -18, -57, -27)
(-9, 65, -9, -18, -59, -26)
(-6, 69, -10, -20, -57, -26)
(-4, 72, -10, -22, -52, -28)
(-4, 74, -10, -26, -47, -31)
(-4, 74, -10, -29, -42, -36)
(-4, 73, -11, -33, -37, -41)
(-4, 70, -12, -35, -32, -46)
(-4, 67, -12, -38, -29, -51)
(-4, 66, -14, -41, -27, -56)
(-4, 64, -15, -44, -27, -60)
(-3, 62, -15, -44, -29, -64)
(-1, 59, -14, -44, -30, -66)
(1, 56, -13, -40, -32, -67)
(4, 53, -13, -36, -30, -64)
(5, 50, -12, -33, -25, -61)
(5, 45, -12, -29, -18, -56)
(3, 43, -12, -23, -11, -51)
(1, 41, -12, -18, -7, -46)
(0, 41, -10, -13, -6, -42)
(-1, 40, -10, -9, -8, -39)
(-2, 39, -9, -4, -11, -35)
(-1, 39, -8, 0, -15, -30)
(0, 40, -7, 3, -18, -24)
(0, 41, -6, 5, -19, -17)
(0, 44, -6, 7, -19, -10)
(0, 46, -7, 6, -18, -4)
(1, 48, -8, 6, -16, 0)
(4, 52, -9, 5, -13, 3)
(6, 55, -11, 5, -8, 7)
(6, 57, -12, 6, -1, 12)
(3, 56, -9, 11, 2, 19)
(1, 56, -7, 20, 2, 27)
(1, 63, -6, 31, 1, 34)
(1, 74, -6, 36, 0, 42)
(0, 74, -4, 35, 0, 50)
(-4, 64, 1, 34, 2, 55)
(-5, 56, 4, 35, 5, 54)
(-6, 47, 7, 34, 11, 49)
(-6, 38, 7, 32, 23, 40)
(-7, 34, 7, 30, 36, 28)
(-12, 30, 9, 31, 44, 17)
(-15, 32, 11, 33, 43, 9)
(-14, 41, 10, 34, 37, 5)
(-13, 50, 8, 30, 29, 5)
(-10, 61, 7, 24, 21, 10)
(-9, 68, 4, 18, 13, 18)
(-8, 72, 3, 13, 5, 27)
(-7, 73, 2, 10, 0, 36)
(-7, 72, 3, 10, -3, 42)
(-8, 68, 4, 12, -4, 47)
(-10, 65, 6, 15, -5, 48)
(-13, 62, 7, 18, -6, 48)
(-18, 59, 8, 20, -8, 47)
(-20, 56, 11, 23, -13, 44)
(-21, 57, 11, 23, -18, 40)
(-18, 57, 11, 21, -20, 36)
(-16, 57, 9, 15, -18, 30)
(-16, 57, 8, 8, -15, 25)
BatchID:  2




(1, 77, -10, -11, 17, -13)
(-3, 72, -6, -13, 12, -6)
(-8, 61, -2, -7, 4, 4)
(-11, 54, -2, 2, -3, 13)
(-13, 50, -2, 8, -9, 19)
(-12, 47, -1, 10, -13, 20)
(-12, 47, -2, 9, -12, 15)
(-11, 47, -3, 5, -10, 6)
(-11, 48, -2, 2, -10, -4)
(-8, 53, -2, 0, -11, -16)
(-5, 59, -1, -3, -12, -24)
(-2, 61, -2, -4, -11, -28)
(2, 67, -4, -7, -5, -29)
(3, 68, -3, -7, -1, -28)
(3, 67, -3, -9, 2, -27)
(2, 63, -4, -9, 6, -26)
(0, 59, -3, -8, 9, -27)
(0, 55, -2, -8, 10, -28)
(-2, 51, -2, -8, 10, -28)
(-2, 49, -1, -8, 9, -28)
(0, 51, 0, -9, 6, -26)
(2, 50, 0, -10, 8, -24)
(5, 51, 0, -12, 12, -22)
(6, 50, -1, -14, 19, -21)
(6, 49, -1, -15, 26, -19)
(4, 47, -2, -16, 39, -16)
(2, 46, -2, -15, 42, -15)
(2, 46, -3, -14, 44, -12)
(1, 45, -2, -14, 46, -8)
(1, 45, -2, -14, 46, -4)
(0, 45, -2, -14, 45, 0)
(0, 46, -2, -15, 45, 4)
(2, 50, -4, -16, 46, 9)
(3, 55, -5, -18, 47, 14)
(6, 60, -8, -21, 49, 20)
(7, 64, -11, -23, 55, 25)
(7, 71, -14, -24, 61, 31)
(6, 73, -15, -25, 67, 38)
(2, 71, -15, -24, 71, 45)
(-3, 63, -12, -20, 73, 52)
(-9, 56, -9, -8, 71, 57)
(-13, 55, -7, 2, 66, 59)
(-14, 56, -7, 9, 61, 57)
(-14, 57, -7, 11, 56, 50)
(-13, 57, -7, 10, 52, 40)
(-12, 56, -7, 6, 51, 28)
(-9, 53, -7, -4, 51, 7)
(-8, 51, -4, -5, 51, 1)
(-6, 51, -3, -5, 50, 0)
(-4, 52, -4, -4, 51, 0)
(-1, 54, -5, -4, 53, 1)
(0, 56, -6, -5, 58, 4)
(0, 56, -7, -7, 63, 6)
(-1, 55, -8, -8, 71, 7)
(-3, 53, -7, -6, 73, 6)
(-4, 52, -8, -4, 73, 5)
(-4, 52, -8, -2, 73, 4)
(-4, 52, -7, 0, 73, 3)
(-4, 53, -6, 0, 70, 4)
(-4, 54, -5, 1, 67, 5)
(-3, 55, -5, 1, 63, 6)
(-2, 56, -4, 0, 61, 9)
(0, 56, -4, -1, 60, 12)
(0, 55, -5, -3, 62, 16)
(0, 54, -5, -5, 66, 19)
BatchID:  3




(-10, 52, 2, -4, 2, -16)
(-6, 57, 0, -10, -2, -13)
(-4, 63, -2, -15, -4, -8)
(-5, 64, -3, -17, -7, -2)
(-8, 61, -3, -16, -11, 6)
(-11, 56, -1, -8, -15, 13)
(-14, 53, 0, 2, -21, 17)
(-14, 53, 0, 9, -28, 17)
(-14, 54, 1, 16, -38, 8)
(-13, 57, 2, 13, -43, 1)
(-11, 57, 1, 7, -45, -3)
(-8, 56, 1, 0, -46, -7)
(-6, 56, 0, -6, -44, -9)
(-4, 56, 0, -12, -42, -10)
(-4, 55, -1, -18, -39, -10)
(-5, 51, -4, -22, -33, -11)
(-6, 50, -5, -21, -33, -11)
(-7, 50, -5, -17, -34, -10)
(-8, 50, -5, -14, -36, -9)
(-9, 50, -5, -10, -39, -8)
(-9, 49, -5, -7, -43, -6)
(-10, 48, -5, -4, -47, -4)
(-10, 49, -6, -2, -51, -3)
(-9, 51, -6, -2, -55, -2)
(-8, 53, -8, -3, -57, -2)
(-7, 56, -9, -3, -60, -1)
(-7, 61, -10, -3, -62, 0)
(-6, 64, -10, -3, -65, 2)
(-6, 67, -11, -2, -68, 4)
(-11, 50, -8, -7, -80, 1)
(-12, 49, -8, -10, -82, -2)
(-9, 50, -9, -15, -83, -6)
(-8, 50, -9, -19, -84, -8)
(0, 54, -18, -30, -60, -5)
(-1, 54, -17, -29, -52, -3)
(-4, 53, -19, -29, -47, -2)
(-5, 51, -19, -26, -44, -2)
(-8, 53, -19, -13, -47, -2)
(-8, 53, -19, -12, -48, -1)
(-8, 54, -20, -10, -48, 0)
(-9, 54, -20, -10, -48, 0)
(-10, 54, -21, -11, -49, 0)
(-11, 52, -20, -12, -51, 0)
(-12, 51, -20, -12, -52, -1)
(-11, 50, -20, -10, -55, -3)
BatchID:  4




(0, 48, -2, -11, 21, -34)
(1, 51, -3, -15, 21, -32)
(3, 50, -3, -19, 22, -28)
(3, 48, -4, -22, 24, -25)
(3, 47, -5, -23, 26, -20)
(3, 45, -5, -23, 27, -16)
(2, 42, -6, -21, 29, -11)
(2, 41, -6, -19, 31, -7)
(2, 39, -6, -16, 32, -2)
(1, 39, -7, -13, 34, 1)
(1, 39, -7, -11, 35, 6)
(0, 40, -7, -8, 35, 12)
(0, 42, -7, -5, 34, 18)
