

(-62, -6, 9, -6, 3, 0)
(-64, -7, 9, -5, 2, 1)
(-65, -5, 9, -4, 0, 2)
(-64, -4, 8, -4, -1, 2)
(-63, -5, 8, -3, 0, 2)
(-65, -6, 9, -2, 1, 1)
(-66, -6, 10, 0, 0, 0)
(-64, -4, 11, 0, -1, 0)
(-62, -2, 9, -2, 0, 1)
(-61, -3, 8, -1, 1, 1)
(-63, -4, 9, -1, 2, 2)
(-63, -4, 9, -1, 1, 2)
(-64, -5, 9, 0, 0, 0)
(-65, -4, 10, -1, 0, 0)
(-65, -6, 11, -1, -1, 0)
(-65, -7, 12, -1, 0, 0)
(-66, -8, 13, -1, 1, 0)
(-67, -11, 13, -2, 4, 1)
(-67, -16, 13, -3, 7, 1)
(-70, -24, 12, -3, 12, 2)
(-74, -36, 12, -2, 23, 3)
(-84, -54, 11, -1, 32, 3)
(-89, -87, 7, -5, 39, -1)
(-116, -123, 2, -13, 32, -14)
(-127, -127, -20, -19, 12, -18)
(-127, -127, -46, -29, -5, -24)
(-127, -127, -69, 18, -52, -31)
(-127, -127, -64, 61, -62, -39)
(-92, -116, -62, 78, -34, -52)
(-63, -95, -54, 92, 9, -64)
(-52, -66, -41, 106, 55, -79)
(-105, 3, -21, 100, 41, -94)
(-127, 42, 4, 29, -76, -114)
(-111, 33, 24, 34, -127, -127)
(-42, 62, 14, 47, -127, -127)
(50, 100, 31, 98, -127, -91)
(123, 127, 17, 119, -6, 4)
(60, 127, 40, 88, 105, 122)
(1, 127, 32, 10, 105, 127)
(-85, 127, 15, -33, 127, 127)
(-127, 127, 16, -107, 70, 86)
(-95, 103, 0, -77, 20, 0)
(-41, 82, -22, -42, 27, -71)
(-18, 92, -22, -8, 63, -116)
(-17, 100, -14, 38, 71, -127)
(-30, 119, -11, 95, 69, -127)
(-35, 127, -7, 108, 53, -127)
(-42, 127, -8, 69, 53, -125)
(-33, 127, -3, 29, 52, -117)
(-23, 70, 3, 14, 66, -105)
(-18, 0, 22, 26, 77, -94)
(-16, -28, 21, 35, 51, -72)
(10, -58, 31, 30, 43, -29)
(33, -82, 49, 3, 56, 24)
(51, -75, 46, -66, 69, 101)
(47, -51, 0, -127, 124, 127)
(-37, -48, -65, -127, 127, 127)
(-127, -79, -122, -127, 127, 127)
(-127, -122, -127, -127, 127, 127)
(-127, -127, -127, -127, 78, 97)
(-127, -127, -110, -125, -25, 68)
