

(-52, -42, -23, -2, 2, 5)
(-52, -42, -23, -2, 1, 4)
(-51, -42, -23, -2, 3, 4)
(-52, -41, -24, -3, 3, 3)
(-52, -42, -25, -4, 2, 3)
(-51, -42, -25, -4, 2, 3)
(-51, -42, -26, -3, 3, 3)
(-51, -43, -27, -2, 3, 3)
(-52, -42, -28, -2, 2, 2)
(-51, -41, -27, -1, 0, 2)
(-51, -39, -26, -1, 0, 2)
(-51, -40, -25, -2, 0, 2)
(-51, -41, -25, -2, 0, 2)
(-50, -42, -24, -1, 2, 2)
(-51, -41, -24, 0, 2, 3)
(-51, -41, -24, -1, 2, 4)
(-50, -41, -24, -2, 2, 4)
(-50, -43, -24, -2, 4, 5)
(-49, -43, -24, 0, 8, 6)
(-52, -42, -26, -4, 13, 10)
(-53, -39, -29, -7, 16, 15)
(-55, -36, -33, -10, 22, 21)
(-61, -34, -42, -12, 32, 30)
(-70, -36, -51, -11, 45, 43)
(-82, -37, -63, 1, 60, 55)
(-103, -33, -85, 23, 68, 54)
(-124, -17, -104, 36, 58, 34)
(-127, 4, -116, 23, 47, 3)
(-127, 17, -121, 28, 37, -23)
(-127, 29, -127, 55, 25, -45)
(-127, 33, -120, 64, 1, -71)
(-127, 19, -95, 69, -30, -108)
(-124, 18, -75, 97, -47, -127)
(-107, 31, -65, 108, -54, -127)
(-87, 40, -52, 107, -55, -127)
(-71, 42, -39, 109, -48, -127)
(-57, 43, -28, 119, -34, -127)
(-52, 42, -19, 127, -20, -127)
(-51, 45, -16, 127, -14, -127)
(-41, 85, -6, 127, -1, -127)
(-70, 82, 4, 40, 34, -127)
(-59, 92, 36, 67, -63, -127)
(-38, 88, 30, 88, -127, -127)
(-22, 112, 13, 65, -127, -127)
(6, 120, 8, 23, -127, -127)
(46, 107, 7, 9, -127, -127)
(75, 106, 7, -12, -93, -127)
(92, 113, 19, -46, -45, -127)
(104, 113, 38, -61, -43, -127)
(124, 109, 26, -74, -66, -127)
(127, 116, 2, -127, 18, -127)
(127, 84, 17, -127, 57, -127)
(127, 70, 11, -92, 28, -127)
(127, 93, -7, -91, 18, -118)
(127, 92, -18, -102, 12, -69)
(127, 59, -15, -59, 18, 31)
(127, 57, -9, -18, 27, 81)
(127, 60, 0, 12, 18, 127)
(127, 66, 14, 33, 13, 127)
(127, 74, 23, 42, 20, 127)
(127, 86, 31, 35, 32, 127)
(120, 89, 41, 17, 42, 127)
(94, 83, 46, -2, 41, 127)
(77, 70, 48, -15, 32, 127)
(67, 59, 54, -17, 28, 127)
(52, 61, 55, -17, 20, 127)
(35, 63, 57, -25, 4, 127)
(24, 62, 63, -42, -9, 127)
(13, 63, 65, -56, -19, 127)
BatchID:  2




(-62, 1, -72, 35, -13, -43)
(-59, -3, -65, 42, -14, -48)
(-58, -5, -64, 46, -14, -54)
(-58, -1, -65, 46, -13, -65)
(-62, 3, -67, 38, -18, -77)
(-66, 0, -66, 27, -32, -95)
(-63, -15, -58, 34, -39, -104)
(-51, -15, -49, 53, -29, -109)
(-45, -1, -55, 63, -15, -110)
(-42, 1, -54, 58, -7, -113)
(-39, -7, -42, 57, -4, -113)
(-33, -20, -27, 66, 4, -108)
(-30, -24, -24, 78, 11, -112)
(-39, -17, -32, 77, 6, -122)
(-40, -12, -34, 61, -7, -127)
(-26, -10, -29, 51, -14, -127)
(-21, -7, -30, 53, -15, -127)
(-24, -4, -37, 48, -27, -127)
(-32, -2, -39, 46, -29, -127)
(-45, 4, -38, 67, -23, -127)
(-60, 19, -39, 91, -17, -127)
(-103, 66, -50, 127, -39, -127)
(-115, 85, -49, 127, -96, -127)
(-98, 101, -35, 127, -127, -127)
(-31, 127, 0, 64, -88, -127)
(-22, 127, -9, 99, -117, -127)
(39, 127, -10, 64, -85, -127)
(86, 127, 14, 0, -37, -127)
(124, 127, 39, -84, -110, -127)
(127, 127, 38, -127, -101, -127)
(127, 87, 54, -127, 65, -127)
(127, 86, 24, -105, 21, -127)
(127, 80, 15, -122, 52, -127)
(127, 69, -1, -120, 48, -74)
(127, 47, -1, -96, 60, -16)
(127, 51, -7, -53, 85, 38)
(127, 81, 0, -35, 95, 85)
(127, 79, -6, -48, 65, 126)
(127, 49, 0, -36, 49, 127)
(127, 39, 8, -1, 42, 127)
(127, 50, 15, 21, 42, 127)
(127, 56, 20, 21, 44, 127)
(107, 48, 25, 17, 38, 127)
(92, 40, 34, 20, 29, 127)
(79, 38, 44, 24, 17, 127)
(68, 43, 56, 25, 4, 127)
(61, 53, 63, 18, -5, 127)
(57, 65, 67, 0, -5, 127)
(49, 66, 73, -21, 1, 127)
(41, 66, 74, -42, 13, 127)
(28, 68, 69, -57, 22, 127)
(15, 77, 59, -67, 29, 127)
(11, 85, 47, -78, 42, 127)
(6, 90, 34, -98, 60, 127)
(-3, 89, 19, -118, 66, 127)
(-21, 81, 3, -127, 55, 127)
(-33, 70, -15, -127, 31, 127)
(-16, 79, -23, -127, 39, 127)
(-10, 92, -37, -127, 61, 127)
(-11, 107, -62, -127, 105, 127)
(-15, 125, -105, -127, 127, 127)
(-32, 127, -127, -127, 127, 127)
(-81, 116, -127, -127, 127, 112)
(-127, 53, -127, -127, 85, 99)
(-127, -14, -127, -127, -127, 127)
(-43, -24, -127, -99, 24, 46)
(-80, 23, -127, 35, 94, -9)
(-76, 121, -127, 37, 44, -19)
(-63, 127, -127, -61, -6, -12)
BatchID:  3




(-53, -26, -34, 0, 7, 3)
