(-19, 52, -7, 2, 29, 11)
(-20, 48, -6, 4, 28, 8)
(-22, 43, -5, 8, 24, 3)
(-23, 41, -3, 15, 18, -2)
(-23, 44, -2, 21, 11, -6)
(-20, 48, -2, 24, 3, -8)
(-16, 53, -3, 23, -1, -10)
(-12, 58, -2, 22, -5, -10)
(-9, 65, -4, 18, -7, -8)
(-6, 70, -6, 11, -6, -7)
(-2, 71, -7, 2, 0, -7)
(-4, 55, -7, -1, 10, -4)
(-3, 56, -9, -4, 13, -3)
(-4, 55, -9, -7, 16, -2)
(-4, 56, -10, -9, 19, -1)
(-5, 56, -10, -10, 22, -1)
(-5, 57, -11, -10, 25, 0)
(-5, 57, -10, -10, 27, 0)
(-6, 56, -12, -11, 30, 1)
(-6, 56, -13, -11, 32, 2)
(-8, 56, -12, -11, 33, 2)
(-8, 56, -13, -10, 33, 3)
(-9, 55, -12, -8, 31, 5)
(-11, 55, -11, -7, 28, 8)
(-12, 54, -10, -6, 24, 9)
(-13, 53, -9, -5, 19, 12)
(-13, 53, -7, -4, 14, 14)
(-14, 53, -7, -4, 11, 15)
(-14, 52, -5, -5, 9, 16)
(-14, 53, -3, -5, 8, 16)
(-14, 54, -3, -6, 7, 16)
(-13, 55, -3, -7, 8, 16)
(-7, 66, -4, -8, 17, 14)
(-2, 76, -9, -16, 26, 13)
(-1, 79, -11, -27, 38, 12)
(-1, 75, -12, -35, 48, 12)
(-7, 65, -12, -38, 55, 14)
(-12, 55, -10, -36, 56, 14)
(-17, 46, -7, -30, 53, 15)
(-21, 38, -4, -19, 46, 15)
(-24, 37, 0, -6, 36, 13)
(-25, 38, 2, 1, 23, 9)
(-24, 40, 4, 5, 11, 5)
(-21, 43, 7, 7, 2, 1)
(-18, 45, 8, 8, -5, -1)
(-13, 50, 8, 6, -9, -5)
(-7, 53, 7, 0, -6, -9)
(-1, 56, 4, -8, 1, -12)
(1, 56, 3, -18, 13, -14)
(1, 54, 2, -24, 25, -16)
(0, 52, 1, -26, 34, -18)
(-1, 51, 1, -25, 38, -20)
(-2, 51, 1, -23, 40, -21)
(-3, 50, 1, -20, 39, -22)
(-4, 49, 2, -15, 35, -20)
(-5, 48, 3, -11, 31, -18)
(-7, 47, 4, -7, 25, -14)
(-7, 47, 6, -4, 18, -9)
(-7, 46, 8, 0, 13, -5)
(-8, 47, 9, 1, 7, -3)
(-7, 48, 10, 3, 1, -1)
(-5, 51, 12, 6, -1, 1)
(-5, 53, 13, 5, -1, 3)
(-4, 55, 12, 3, 1, 5)
BatchID:  1




(-7, 50, -6, 1, -7, -2)
(-7, 52, -6, 0, -5, -1)
(-7, 53, -7, 0, -3, 0)
(-7, 53, -6, -1, 0, 0)
(-8, 54, -7, -1, 2, 1)
(-8, 53, -8, -2, 5, 1)
(-10, 53, -8, -1, 6, 2)
(-11, 52, -8, 0, 5, 3)
(-12, 52, -7, 1, 3, 5)
(-13, 52, -6, 4, 0, 7)
(-13, 52, -6, 6, -4, 9)
(-12, 53, -5, 7, -7, 11)
(-11, 54, -4, 7, -9, 14)
(-12, 54, -5, 7, -9, 16)
(-11, 55, -5, 7, -10, 17)
(-11, 56, -6, 6, -9, 17)
(-10, 56, -6, 5, -8, 17)
(-8, 56, -6, 4, -6, 17)
(-7, 55, -7, 4, -3, 17)
(-8, 54, -7, 4, 2, 19)
(-10, 54, -7, 5, 2, 19)
(-11, 53, -6, 5, 1, 20)
(-11, 53, -5, 5, 0, 20)
(-11, 53, -4, 5, -2, 20)
(-11, 52, -3, 3, -3, 19)
(-11, 52, -2, 2, -4, 19)
(-10, 53, -2, 2, -5, 18)
(-9, 58, -1, 2, -3, 17)
(-7, 64, -2, 0, 0, 15)
(-5, 69, -4, -7, 4, 13)
(-5, 69, -8, -17, 10, 11)
