


(-70, -8, -3, 3, 1, 0)
(-70, -8, -3, 3, 3, -3)
(-70, -7, -3, 3, 4, -5)
(-68, -7, -2, 1, 2, -7)
(-63, -8, -3, 0, 0, -6)
(-56, -11, -6, -3, 1, -3)
(-56, -12, -7, -3, 5, -1)
(-59, -12, -8, -2, 8, 0)
(-62, -13, -8, 0, 9, 0)
(-66, -12, -8, 2, 7, 1)
(-68, -12, -7, 4, 3, 2)
(-71, -10, -6, 6, -1, 0)
(-68, -9, -6, 5, -5, 0)
(-66, -10, -5, 6, -6, 0)
(-64, -10, -6, 6, -4, 0)
(-64, -11, -6, 5, 0, -1)
(-65, -12, -6, 6, 2, -2)
(-66, -14, -6, 5, 4, -2)
(-67, -17, -6, 5, 5, -3)
(-68, -22, -7, 4, 5, -3)
(-67, -32, -9, 3, 7, -4)
(-70, -45, -11, 1, 9, -5)
(-72, -61, -14, 0, 12, -8)
(-79, -78, -16, -2, 15, -12)
(-92, -97, -17, -1, 15, -19)
(-101, -116, -15, 4, 6, -33)
(-84, -121, -16, 26, -18, -56)
(-68, -109, -17, 32, -22, -58)
(-51, -101, -15, 40, -20, -53)
(-39, -91, -12, 51, -14, -47)
(-29, -76, -8, 59, -10, -34)
(-21, -57, -3, 64, -10, -14)
(-15, -31, 2, 61, -16, 11)
(-8, 5, 6, 48, -19, 32)
(-3, 45, 3, 19, -22, 53)
(1, 77, 0, -6, -17, 85)
(-3, 109, -5, -15, -5, 122)
(-37, 127, -4, -9, 2, 127)
(-77, 127, -5, -3, 0, 127)
(-126, 127, -13, -14, -30, 127)
(-127, 127, -8, -42, -48, 127)
(-127, 95, -8, -45, -31, 75)
(-127, 42, -19, -41, 16, 2)
(-113, 17, -11, -15, 48, -63)
(-100, 30, -4, 18, 38, -85)
(-81, 56, -5, 30, 5, -97)
(-54, 63, 7, 39, -13, -100)
(-33, 82, 6, 39, -4, -102)
(-26, 94, 7, 22, 14, -106)
(-32, 85, 7, 11, 20, -103)
(-33, 72, 3, 10, 9, -97)
(-20, 60, -2, 12, -2, -83)
(-12, 48, -4, 13, -6, -65)
(-9, 29, 0, 13, -2, -48)
(-10, 3, 5, 6, 15, -11)
(-22, -5, 7, 1, 18, 7)
(-34, -11, 3, -7, 11, 27)
(-43, -21, 3, -13, 2, 42)
(-49, -29, 1, -14, 1, 57)
(-50, -35, -1, -19, 4, 70)
(-61, -39, -5, -27, 14, 81)
(-92, -50, -18, -56, 26, 82)
(-101, -64, -25, -63, 23, 76)
(-105, -76, -29, -61, 21, 69)
(-105, -79, -35, -54, 24, 58)
(-107, -82, -35, -47, 28, 44)
(-109, -83, -31, -33, 29, 32)
BatchID:  2




(-65, -10, -1, 1, -1, -2)
(-65, -11, 0, 1, -1, -2)
(-64, -11, 0, 2, -1, -2)
(-63, -11, 0, 3, 0, -2)
(-63, -11, 0, 3, 0, -1)
