
(21, -64, -31, -2, 0, -1)
(21, -68, -30, 2, 3, 0)
(18, -70, -28, 8, 4, 0)
(15, -68, -25, 11, 0, 0)
(16, -65, -24, 11, -3, 0)
(18, -62, -23, 7, -5, 0)
(19, -62, -23, 1, -5, 0)
(18, -65, -23, 0, -4, -1)
(17, -65, -25, -1, -3, -1)
(17, -64, -27, -2, -3, 0)
(16, -63, -27, -3, -3, 0)
(16, -63, -27, -4, -2, 0)
(15, -62, -29, -4, -2, 0)
(15, -62, -29, -4, -2, -1)
(15, -61, -29, -5, -4, -2)
(17, -62, -31, -7, -4, -3)
(18, -62, -32, -5, -3, -3)
(19, -61, -33, -3, -2, -2)
(21, -61, -33, -2, 0, 0)
(20, -63, -34, 0, 2, 1)
(18, -64, -33, 1, 2, 2)
(17, -67, -32, 3, 0, 2)
(17, -65, -31, 5, -2, 1)
(19, -64, -31, 3, -2, 0)
(20, -64, -32, 2, 0, 0)
(21, -65, -34, 0, 1, 1)
(24, -66, -40, -4, 7, 4)
(27, -67, -48, -5, 17, 8)
(30, -67, -57, -5, 30, 13)
(27, -66, -68, -3, 39, 17)
(26, -68, -78, 0, 43, 19)
(26, -68, -86, -4, 46, 20)
(30, -70, -96, -5, 54, 21)
(28, -82, -114, 5, 80, 6)
(25, -83, -109, 15, 68, 1)
(25, -82, -107, 28, 53, 5)
(28, -80, -109, 50, 37, 14)
(28, -73, -105, 71, 26, 27)
(12, -28, -55, 127, 22, 63)
(0, 4, -43, 127, 13, 59)
(-3, 15, -35, 127, 5, 60)
(-3, 23, -27, 127, 0, 62)
(-4, 27, -17, 127, -4, 62)
(-2, 30, -10, 127, -6, 59)
(-1, 58, 12, 127, -1, 54)
(-10, 43, 8, 127, -14, 54)
(-6, 45, 14, 127, -33, 51)
(-4, 46, 23, 127, -26, 50)
(-2, 52, 31, 127, -17, 50)
(0, 61, 40, 127, -12, 45)
(-16, 60, 75, 127, -4, 36)
(-25, 47, 97, 127, -28, 34)
(-19, 52, 104, 110, -53, 30)
(-4, 52, 112, 76, -63, 24)
