

(-17, 49, -20, 0, 0, 0)
(-16, 48, -19, 0, 0, 0)
(-16, 49, -21, 0, 1, 0)
(-17, 48, -22, 0, 1, 0)
(-18, 48, -22, 0, 0, 0)
(-18, 49, -20, 0, 0, 0)
(-18, 50, -20, 0, 0, 0)
(-18, 50, -20, 0, 0, 0)
(-18, 49, -19, 0, -1, 0)
(-17, 48, -21, 0, -1, 0)
(-17, 48, -21, 0, -1, 0)
(-17, 48, -21, 0, -1, 0)
(-17, 48, -22, 0, -1, 0)
(-17, 48, -22, 0, -1, 0)
(-17, 48, -21, 0, -1, 0)
(-17, 48, -21, 0, -1, 0)
(-17, 49, -19, 0, -1, 0)
(-20, 50, -19, 1, 0, 0)
(-25, 52, -21, 2, -1, -3)
(-33, 60, -21, 6, -1, -5)
(-48, 71, -17, 9, 0, -7)
(-75, 94, -3, 1, 9, -20)
(-95, 102, -8, 35, 32, -60)
(-127, 119, -36, 60, 83, -127)
(-127, 127, -73, 68, 127, -127)
(-127, 127, -119, 88, 43, -127)
(-127, 127, -127, 86, -63, -127)
(-127, 127, -127, 113, -127, -127)
(-127, 127, -127, 113, -127, -127)
(-127, 127, -127, 119, -127, -127)
(-96, 127, -127, 127, -127, -127)
(-47, 127, -127, 127, -127, -127)
(18, 127, -127, 127, -127, -127)
(75, 127, -127, 102, -127, -127)
(89, 105, -96, 66, -127, -127)
(86, 61, -75, 48, -127, -127)
(119, 34, -71, 50, -127, -110)
(127, 22, -55, 60, -92, -86)
(127, 18, -19, 84, -51, -58)
(99, 26, 14, 99, -35, -26)
(89, 58, 36, 45, -76, -3)
(127, 42, 5, -3, -44, -3)
(124, 30, 8, -30, 6, 12)
(100, 19, 14, -19, 32, 36)
(68, 18, 7, 2, 35, 61)
(53, 24, -3, 17, 18, 78)
(51, 34, -11, 0, -1, 90)
(60, 34, -11, -38, 7, 95)
(59, 20, -8, -50, 32, 94)
(52, 11, -6, -43, 57, 90)
(40, 11, -8, -31, 77, 88)
(36, 14, -15, -32, 86, 88)
(34, 16, -22, -45, 93, 90)
(26, 15, -32, -62, 104, 92)
(18, 14, -45, -78, 113, 94)
(6, 19, -65, -82, 123, 99)
(-13, 26, -79, -79, 127, 110)
(-35, 33, -80, -76, 120, 127)
(-62, 42, -73, -62, 102, 127)
(-82, 54, -79, -54, 83, 127)
(-95, 60, -84, -74, 67, 127)
(-98, 59, -87, -83, 59, 127)
(-105, 63, -85, -60, 38, 127)
(-111, 76, -84, -24, 18, 127)
(-111, 127, -50, -15, 8, 127)
(-127, 118, -68, -32, -2, 127)
(-127, 124, -81, -16, -21, 127)
(-120, 127, -62, -7, -15, 127)
BatchID:  2




(-21, 46, -26, 0, 0, 0)
(-21, 46, -26, 0, 0, 0)
(-22, 46, -26, 0, -2, 1)
(-22, 47, -24, 0, -3, 1)
(-21, 47, -23, 0, -4, 1)
(-19, 46, -23, 0, -3, 0)
(-19, 46, -24, 0, -2, 0)
(-19, 46, -25, 0, -2, 1)
(-20, 46, -25, 0, -2, 1)
(-20, 47, -24, 0, -2, 1)
(-20, 47, -23, 0, -2, 0)
(-20, 47, -22, 0, -2, 0)
(-18, 47, -24, 0, 0, 0)
(-19, 46, -25, 0, 0, 0)
(-20, 47, -25, 0, 0, 0)
(-21, 48, -25, 0, 0, 0)
(-23, 48, -25, 0, 0, 0)
(-27, 53, -21, -1, 0, -3)
(-34, 60, -19, -2, 0, -8)
(-54, 79, -9, -10, 0, -17)
(-66, 95, 3, -24, 0, -34)
(-76, 107, 7, 7, 95, -118)
(-121, 114, -16, 15, 127, -127)
(-127, 114, -48, 25, 127, -127)
(-127, 123, -70, 32, 126, -127)
(-127, 124, -104, 67, 41, -127)
(-127, 127, -127, 79, -23, -127)
(-127, 117, -127, 79, -62, -127)
(-127, 99, -127, 87, -76, -127)
(-127, 89, -127, 107, -71, -127)
(-101, 85, -127, 127, -72, -127)
(-69, 93, -127, 127, -89, -127)
(-34, 102, -125, 127, -110, -127)
(6, 103, -108, 127, -121, -127)
(34, 91, -87, 122, -127, -127)
(59, 73, -69, 92, -124, -127)
(80, 55, -55, 73, -110, -118)
(90, 42, -44, 70, -97, -104)
(98, 36, -29, 73, -74, -90)
(98, 38, -10, 83, -46, -77)
(91, 74, 29, 40, -32, -61)
(90, 33, 11, 30, -32, -50)
(76, 25, 18, 14, -12, -29)
(72, 20, 24, 16, -13, -16)
(78, 19, 18, 13, -12, -3)
(81, 19, 16, 5, 10, 11)
(74, 18, 14, 0, 23, 24)
(64, 17, 9, -3, 34, 38)
(55, 15, 6, -7, 40, 50)
(49, 13, 2, -11, 41, 62)
(50, 12, 0, -18, 42, 73)
(50, 9, -1, -25, 47, 85)
(46, 9, -2, -29, 54, 96)
(41, 10, -7, -35, 60, 104)
(35, 14, -13, -49, 62, 114)
(33, 18, -22, -70, 59, 124)
(31, 22, -36, -91, 62, 127)
(20, 25, -46, -97, 71, 127)
BatchID:  3




(-21, 47, -23, -1, -3, 0)
(-23, 47, -21, -2, -2, -1)
(-24, 48, -18, -3, -2, -3)
(-23, 49, -18, -4, -1, -3)
(-24, 48, -20, -5, -2, -3)
(-24, 48, -21, -5, -3, -1)
(-24, 45, -21, -3, -7, 1)
(-22, 45, -23, -1, -10, 5)
(-21, 44, -23, 0, -11, 7)
(-20, 42, -24, 0, -11, 9)
(-19, 41, -26, 2, -11, 11)
(-19, 42, -27, 2, -8, 11)
(-19, 42, -27, 4, -4, 11)
(-20, 43, -25, 6, 1, 9)
(-22, 44, -25, 5, 7, 4)
(-24, 46, -24, 4, 16, -2)
(-29, 48, -22, 2, 20, -7)
(-30, 48, -18, 0, 15, -7)
(-29, 49, -19, -1, 1, -2)
(-22, 46, -21, 0, -3, 1)
(-23, 47, -21, -1, -2, 1)
(-26, 49, -20, -1, -1, 0)
(-32, 53, -19, -2, -2, -1)
(-43, 67, -8, -6, -1, -4)
(-53, 80, 1, -12, 0, -12)
(-57, 87, 8, -14, 8, -34)
(-66, 92, -1, -4, 50, -71)
(-103, 108, -12, 0, 102, -116)
(-127, 113, -32, 8, 113, -127)
(-127, 119, -60, 17, 102, -127)
(-127, 126, -86, 27, 68, -127)
(-127, 120, -119, 56, 26, -127)
(-127, 112, -127, 70, 7, -127)
(-127, 98, -127, 83, -1, -127)
(-127, 87, -127, 114, -26, -127)
(-127, 93, -116, 127, -70, -127)
(-118, 102, -110, 127, -102, -127)
(-78, 115, -102, 127, -127, -127)
(-40, 121, -85, 113, -127, -127)
(-7, 106, -83, 100, -127, -127)
(22, 91, -82, 81, -127, -127)
(47, 77, -71, 69, -125, -127)
(69, 67, -63, 62, -107, -127)
(94, 56, -52, 57, -86, -127)
(103, 40, -35, 58, -66, -119)
(100, 30, -17, 65, -50, -93)
(107, 39, 5, 44, -37, -71)
(124, 33, 8, 20, -20, -54)
(127, 32, 18, 7, 9, -34)
(123, 20, 29, 14, 38, -13)
(108, 24, 27, 29, 58, 11)
(90, 38, 25, 22, 60, 36)
(79, 43, 17, -2, 41, 61)
(72, 39, 12, -30, 30, 85)
(69, 28, 7, -43, 24, 104)
(65, 26, 3, -41, 26, 123)
(60, 26, -5, -39, 32, 127)
(53, 30, -15, -42, 40, 127)
(42, 37, -28, -54, 44, 127)
(32, 39, -38, -77, 39, 127)
(34, 38, -46, -95, 40, 127)
(39, 41, -56, -92, 67, 127)
(23, 55, -74, -63, 109, 127)
(-32, 76, -99, -31, 127, 127)
(-115, 88, -104, -16, 86, 127)
(-127, 127, -43, -127, 64, 127)
(-127, 95, -44, -50, 8, 127)
(-127, 127, -83, -21, 39, 127)
(-127, 127, -91, -45, 116, 127)
