(-57, -21, -19, 2, 3, -2)
(-58, -23, -18, 1, 4, -1)
(-59, -25, -18, 1, 3, 0)
(-58, -26, -18, 3, 2, 0)
(-58, -25, -17, 4, 1, -1)
(-59, -24, -16, 3, 0, -2)
(-58, -23, -17, 1, -2, -1)
(-57, -24, -18, 0, 0, 0)
(-57, -25, -17, 0, 2, 0)
(-58, -23, -18, 0, 4, 0)
(-58, -22, -18, -1, 2, 0)
(-57, -23, -20, -2, 0, -1)
(-56, -26, -20, -2, -3, 0)
(-55, -28, -19, 0, -4, 0)
(-53, -26, -19, 3, -2, 2)
(-54, -23, -17, 3, 1, 5)
(-57, -21, -17, 1, 2, 6)
(-60, -22, -19, -1, 1, 7)
(-60, -26, -18, 0, 1, 7)
(-62, -25, -19, 2, 1, 5)
(-64, -23, -18, 1, 0, 3)
(-67, -19, -20, 0, -2, 2)
(-70, -17, -24, -4, -4, 1)
(-72, -12, -30, -3, 2, 3)
(-76, 0, -39, -2, 20, 7)
(-89, 3, -49, -2, 48, 8)
(-114, 2, -59, 6, 64, -1)
(-127, 2, -74, 20, 54, -29)
(-127, 0, -85, 20, 17, -56)
(-127, -3, -86, 20, -7, -80)
(-127, 5, -79, 39, -26, -104)
(-127, 17, -81, 50, -22, -116)
(-126, 15, -81, 53, 0, -116)
(-123, 5, -73, 72, 27, -110)
(-126, 5, -61, 94, 44, -108)
(-127, 8, -54, 106, 47, -112)
(-92, 24, -5, 92, 4, -127)
(-69, 15, 2, 78, -16, -127)
(-50, 22, 11, 77, -9, -127)
(-20, 20, 19, 42, -21, -127)
(-3, 14, 18, 27, -20, -127)
(13, 7, 17, 14, -10, -127)
(22, 0, 17, 7, 5, -127)
(29, -8, 16, 6, 25, -123)
(30, -14, 18, 19, 30, -104)
(31, -16, 17, 38, 40, -91)
(28, -15, 18, 51, 52, -85)
(26, -13, 23, 52, 47, -83)
(26, -14, 28, 48, 37, -86)
(24, -17, 30, 46, 20, -92)
(28, -13, 31, 46, 2, -95)
(38, -7, 34, 38, -11, -95)
(54, -1, 36, 23, -14, -89)
(71, -2, 39, 8, -3, -82)
(78, -7, 36, 2, 21, -72)
(77, -17, 33, 7, 47, -59)
(72, -22, 32, 22, 61, -47)
(66, -19, 33, 32, 64, -37)
(63, -17, 38, 34, 59, -29)
(67, -16, 40, 32, 56, -21)
(69, -17, 38, 31, 63, -15)
(62, -17, 40, 34, 67, -9)
(53, -21, 43, 30, 60, -7)
(47, -28, 46, 36, 46, -11)
(47, -27, 49, 45, 33, -16)
(51, -17, 51, 43, 26, -20)
BatchID:  2




(-42, -55, 3, -11, 9, 0)
(-40, -58, 0, -17, 5, -2)
(-37, -59, -2, -17, 7, -2)
(-37, -59, -5, -12, 10, -2)
(-38, -66, -3, -8, 10, -1)
