248,-440,1028,-1588,436,-2020,-32768,30824,32767,32088,13336,14904,16044,-104,-28804,-12740,-1752,-252,1036,92
5440,5732,4168,6420,5968,1744,-676,32767,24212,3564,-432,4120,9584,3860,12576,6580,4680,5896,5568,4680
-10600,-10884,-11360,-10264,-8364,-15548,-32768,-32768,-8584,23168,24600,9924,-11824,-32768,-32404,-20364,-11828,-10560,-11312,-12056
12,93,-54,1048,547,1895,32767,32767,17119,2277,-7511,-19749,-10106,-20982,-30263,-7888,149,415,78,570
-1318,-251,276,-2943,682,19173,-32768,-32768,-32768,-4527,7333,11373,32767,32767,6967,4640,-4761,-703,1113,1067
1862,446,-73,5155,-133,-3391,-22535,-10660,-13648,-6549,10979,24143,30790,32767,31063,8922,-3615,-602,-1736,-731
2,103,205,307,408,511,612,714,816,918,1019,1121,1223,1325,1427,1528,1631,1732,1834,1936
-148,-384,40,-660,-1084,-21080,-6716,28136,26680,18724,9700,14572,16584,12744,-25452,-17596,-8448,-8204,2676,-504
6520,6696,6464,5236,3884,3384,32767,13900,9564,-2556,-4408,240,5148,5956,12572,11900,7752,6844,4904,4384
-10236,-10304,-10268,-10320,-9600,-32768,-32768,-28028,1496,17960,22036,16688,2432,-23896,-28636,-27232,-13824,-13084,-10464,-12140
78,59,167,1207,-79,15447,32767,26842,9605,11652,-3657,-18936,-26375,-8667,-16101,-10813,-7828,-1128,268,453
182,118,661,1215,-2799,24539,-32768,-32768,-32768,9636,1550,4647,13204,30156,32767,13869,3969,1899,-902,2291
736,480,331,1065,4835,-529,-15180,-21249,-7916,653,8905,9607,31233,32767,25671,12082,-841,-5994,-1633,168
1,104,205,307,409,511,612,714,816,918,1020,1121,1224,1325,1428,1529,1630,1733,1834,1936
-812,-776,-436,-520,1380,504,-32768,16180,32767,30504,25984,22984,24564,-6876,-14320,-7140,-2088,404,2180,848
5724,5692,5956,5984,2344,-7576,2900,32767,19288,2336,2216,6336,18032,-7424,-4304,-784,1564,408,884,1104
-10464,-9852,-9920,-9788,-11016,-21392,-32768,-32768,-14452,11472,24852,12604,-8444,-32768,-32768,-20068,-13100,-14932,-13096,-13276
191,586,-534,-1183,-852,13047,32767,32767,25689,8232,-88,-19011,-30109,-32768,-26511,-14114,-2605,-336,736,1579
-437,-957,-346,410,4286,1661,-15065,-32768,-32768,-5156,2244,16736,32767,32767,4673,-9688,-2244,-12,-3568,-1743
1226,1113,352,312,658,18667,6558,-16974,-19368,-6717,7546,22888,30974,13553,16798,8117,1803,-2486,-1354,-631
2,104,206,307,410,511,613,715,817,919,1020,1122,1224,1326,1428,1530,1631,1734,1835,1936
1532,1840,1724,1948,2240,1592,-1044,-23912,32767,32000,18780,21264,20636,19588,-6020,-11404,-8044,-2676,1268,1204
1380,1364,1004,1764,-880,-7860,-3036,92,32292,19068,11176,2624,2376,7152,-2116,-3024,-1380,-5832,-2656,-3780
-12724,-13308,-13368,-12700,-12368,-16588,-28408,-32768,-32768,3204,28744,20892,7844,-14884,-32768,-32768,-18408,-16028,-13300,-13512
-301,-1494,-1066,-1451,-1415,2439,21215,32767,32767,27304,7421,-11909,-25410,-23635,-9291,-1502,-5591,-9195,1826,-1255
2033,984,911,-1250,625,-5712,8590,-32768,-32768,-32768,-13577,4971,14210,32767,32767,24271,11876,-7335,-3286,-3558
-1387,-1206,-390,2571,1178,13910,16978,-11515,-9870,-2439,1994,9319,22725,32767,26606,8085,-12233,-3993,-2258,-5639
1,103,204,307,408,510,612,713,816,917,1019,1121,1223,1325,1426,1528,1630,1732,1834,1936
-1656,-1364,-1728,-1596,-1488,768,2580,-32768,-5680,32767,32767,20380,23160,21544,22652,-4468,-21880,-11100,-1460,-2748
-4840,-4824,-4468,-4272,-4680,-5492,-7028,-4968,11384,8992,10464,8440,216,-1376,7700,4456,4520,2804,-1516,-636
-10624,-10540,-10580,-10608,-10300,-8468,-10312,-32768,-32768,-28420,3496,17432,17164,7020,-5308,-32768,-32768,-18324,-12732,-12108
42,-56,-275,-73,-616,-1129,1350,17799,32767,32767,19191,-32172,-3954,-11838,-5500,-13746,-5752,-601,2473,-1760
-112,-280,12,224,6,613,7106,49,-32768,-32768,-27676,-18675,14129,15168,32767,32767,18392,4833,4442,-5539
142,196,461,355,1434,5949,18995,-14877,-31017,-31065,-2861,2452,8429,18956,32767,27623,23547,-5957,-7516,-1270
2,104,205,307,409,511,612,715,816,918,1020,1121,1224,1325,1428,1529,1630,1733,1834,1936
-1420,-412,-1256,-1488,-644,176,3504,-3552,-32768,31916,32767,31032,24068,29880,25020,-7344,-17356,-10624,-2220,-1064
-4544,-4636,-4452,-4388,-4268,-3932,-4224,-7048,-6620,32767,19780,2408,2532,4140,17132,860,-1208,-1136,-2204,356
-10244,-11308,-11288,-11272,-10868,-9356,-8756,-21904,-32768,-32768,-10880,22444,23664,10884,-16256,-32768,-32768,-17804,-12196,-12480
